seed,class,support,P1_non_EB,P1_EB,selective_EB_gate,delta_gate_vs_eb
31415,STES,379,0.5516304347826086,0.5613540197461213,0.5509641873278237,-0.010389832418297607
31415,TGCT,124,0.5925925925925926,0.5863192182410424,0.6025641025641025,0.01624488432306015
31415,THCA,324,0.7065420560747664,0.6940298507462687,0.7030075187969925,0.008977668050723864
31415,THYM,98,0.2857142857142857,0.27450980392156865,0.27298050139275765,-0.0015293025288110051
31415,UCEC,198,0.5761124121779859,0.5808080808080808,0.5947242206235012,0.013916139815420392
52,ACC,72,0.855072463768116,0.8794326241134752,0.8652482269503546,-0.014184397163120588
52,BLCA,104,0.48863636363636365,0.48148148148148145,0.5247524752475248,0.04327099376604332
52,BRCA,786,0.5343137254901961,0.5384006334125099,0.5495568090249798,0.011156175612469954
52,CESC,155,0.4391691394658754,0.4397590361445783,0.4411764705882353,0.0014174344436569952
52,COAD,223,0.7589285714285714,0.7477477477477478,0.7539503386004515,0.006202590852703693
52,DLBC,38,0.49056603773584906,0.5348837209302325,0.6133333333333333,0.07844961240310078
52,GBMLGG,461,0.5081081081081081,0.5,0.49175824175824173,-0.008241758241758268
52,HNSC,223,0.397196261682243,0.39618138424821003,0.3952941176470588,-0.0008872666011512376
52,KIPAN,515,0.5729967069154775,0.6035242290748899,0.5980284775465499,-0.0054957515283400316
52,KIRC,334,0.6345864661654136,0.6874074074074074,0.6796407185628742,-0.007766688844533132
52,LAML,158,0.5676567656765676,0.5152542372881356,0.5576923076923077,0.042438070404172135
52,LGG,229,0.6517690875232774,0.6395563770794824,0.6309963099630996,-0.008560067116382797
52,LIHC,158,0.3979591836734694,0.42359249329758714,0.4073107049608355,-0.016281788336751646
52,LUAD,184,0.39880952380952384,0.35962145110410093,0.4,0.04037854889589909
52,LUSC,178,0.5450346420323325,0.5505050505050505,0.5574572127139364,0.006952162208885948
52,OV,253,0.45396825396825397,0.4440993788819876,0.45641838351822506,0.012319004636237474
52,PAAD,120,0.44982698961937717,0.3987138263665595,0.43097643097643096,0.03226260460987146
52,PCPG,147,0.3431372549019608,0.3315508021390374,0.3256997455470738,-0.00585105659196361
52,PRAD,266,0.3522012578616352,0.3575418994413408,0.37821482602118,0.020672926579839213
52,SARC,198,0.26609442060085836,0.22522522522522523,0.2543859649122807,0.029160739687055487
52,SKCM,276,0.8953488372093024,0.8949416342412452,0.8953488372093024,0.00040720296805718537
52,STES,379,0.5485232067510548,0.5493562231759657,0.5527065527065527,0.003350329530587004
52,TGCT,124,0.5974025974025974,0.584717607973422,0.5897435897435898,0.005025981770167776
52,THCA,324,0.6951672862453532,0.701688555347092,0.6990654205607477,-0.002623134786344239
52,THYM,98,0.27586206896551724,0.28895184135977336,0.2697947214076246,-0.01915711995214875
52,UCEC,198,0.5893271461716937,0.6165413533834586,0.6057692307692307,-0.010772122614227886
62,ACC,72,0.8740740740740741,0.9,0.8936170212765957,-0.00638297872340432
62,BLCA,104,0.5139664804469274,0.46788990825688076,0.47761194029850745,0.009722032041626694
62,BRCA,786,0.541157294213529,0.547901821060966,0.5410235580828595,-0.006878262978106453
62,CESC,155,0.42771084337349397,0.38509316770186336,0.4024390243902439,0.017345856688380568
62,COAD,223,0.7629796839729119,0.7377777777777778,0.7483296213808464,0.0105518436030686
62,DLBC,38,0.5,0.5185185185185185,0.5633802816901409,0.04486176317162238
62,GBMLGG,461,0.5152722443559097,0.5,0.4910344827586207,-0.008965517241379284
62,HNSC,223,0.3778801843317972,0.38164251207729466,0.3833718244803695,0.0017293124030748341
62,KIPAN,515,0.5742574257425742,0.6072961373390557,0.6026200873362445,-0.004676050002811238
62,KIRC,334,0.6363636363636364,0.6934523809523809,0.6899563318777293,-0.0034960490746516193
62,LAML,158,0.5544554455445545,0.5217391304347826,0.5639344262295082,0.042195295794725585
62,LGG,229,0.6539923954372624,0.6404494382022472,0.6493506493506493,0.008901211148402144
62,LIHC,158,0.37894736842105264,0.4426229508196721,0.3882978723404255,-0.054325078479246613
62,LUAD,184,0.4,0.39634146341463417,0.3878787878787879,-0.008462675535846287
62,LUSC,178,0.5626477541371159,0.5809768637532133,0.5607940446650124,-0.020182819088200965
62,OV,253,0.4620355411954766,0.45565749235474007,0.4519230769230769,-0.0037344154316631406
62,PAAD,120,0.4529616724738676,0.3961661341853035,0.4503311258278146,0.054164991642511096
62,PCPG,147,0.3412322274881517,0.33773087071240104,0.3657957244655582,0.02806485375315715
62,PRAD,266,0.3542319749216301,0.38186813186813184,0.38284839203675347,0.0009802601686216272
62,SARC,198,0.2700228832951945,0.23471882640586797,0.2535211267605634,0.018802300354695406
62,SKCM,276,0.8940269749518305,0.8949416342412452,0.8992248062015504,0.004283171960305254
62,STES,379,0.543978349120433,0.5527065527065527,0.541374474053296,-0.011332078653256694
62,TGCT,124,0.631578947368421,0.6026490066225165,0.6109324758842444,0.00828346926172785
62,THCA,324,0.6953271028037383,0.6930320150659134,0.7030075187969925,0.009975503731079138
62,THYM,98,0.28,0.30113636363636365,0.2776203966005666,-0.02351596703579706
62,UCEC,198,0.586046511627907,0.6009852216748769,0.5913461538461539,-0.009639067828723036
