true_class,evidence_set_network__ACC,evidence_set_network__BLCA,evidence_set_network__BRCA,evidence_set_network__CESC,evidence_set_network__COAD,evidence_set_network__DLBC,evidence_set_network__GBMLGG,evidence_set_network__HNSC,evidence_set_network__KIPAN,evidence_set_network__KIRC,evidence_set_network__LAML,evidence_set_network__LGG,evidence_set_network__LIHC,evidence_set_network__LUAD,evidence_set_network__LUSC,evidence_set_network__OV,evidence_set_network__PAAD,evidence_set_network__PCPG,evidence_set_network__PRAD,evidence_set_network__SARC,evidence_set_network__SKCM,evidence_set_network__STES,evidence_set_network__TGCT,evidence_set_network__THCA,evidence_set_network__THYM,evidence_set_network__UCEC
OV,0.014059657,0.028918197,0.052451927,0.027346913,0.022841398,0.012272779,0.30741814,0.009773646,0.043685768,0.046636418,0.03244944,0.046398826,0.032419104,0.019107021,0.014075205,0.03878106,0.024281373,0.02836032,0.045848552,0.023557419,0.0058109453,0.010884613,0.05799968,0.028024059,0.019915724,0.006681853
KIPAN,0.06281715,0.09751693,0.025655653,0.045928866,0.050820775,0.028956115,0.037583347,0.15478471,0.024689237,0.0143460985,0.0073173433,0.009629131,0.027914606,0.063437924,0.06328486,0.008620805,0.07005069,0.004276366,0.01994041,0.032333516,0.054053247,0.04836601,0.008893797,0.005047903,0.0077688443,0.025965719
KIPAN,0.0028499227,0.003656152,0.0077401916,0.005307708,0.0073101665,0.0029305907,0.00810727,0.007330926,0.23430154,0.6196797,0.0054373085,0.0074135466,0.005394051,0.0063145324,0.00609311,0.007792478,0.004128799,0.005050101,0.00783817,0.006813971,0.0078702895,0.008157099,0.0042507686,0.008011785,0.0034359572,0.006783824
BRCA,0.061113387,0.05982765,0.02122161,0.0046481756,0.0065354705,0.04398189,0.021078467,0.042740945,0.025964346,0.03383816,0.05176178,0.04220283,0.0046662185,0.047589354,0.004842964,0.039861206,0.058614135,0.053878885,0.03864668,0.0458782,0.061368108,0.031368352,0.05802876,0.034454696,0.060009535,0.0458782
PRAD,0.04476991,0.04010825,0.040928338,0.051404078,0.0151144825,0.059587702,0.057765704,0.04678438,0.05899645,0.044909265,0.045465678,0.04156696,0.036466103,0.030661276,0.011087887,0.050631553,0.03348238,0.04528579,0.03776954,0.063850984,0.011516696,0.0077261664,0.03583352,0.045741513,0.03470776,0.007837587
GBMLGG,0.01852827,0.00044272823,0.043655124,0.011332615,0.0011065541,0.00054037664,0.06753899,0.00067448016,0.073091775,0.0791815,0.075690255,0.09175034,0.027258657,0.019911326,0.0067354487,0.057387125,0.033366848,0.043892574,0.063898414,0.050886106,0.010800207,0.0071872114,0.09825227,0.049699605,0.06618048,0.0010107519
UCEC,0.007014946,0.02752328,0.18662778,0.013608435,0.038953967,0.010398545,0.050093018,0.047179554,0.003280216,0.0029691157,0.00533007,0.08645049,0.04269827,0.037630502,0.10144248,0.07843673,0.012888699,0.0024626385,0.010735606,0.014642216,0.016539035,0.06948135,0.003942851,0.0016191492,0.005188304,0.12286277
GBMLGG,0.012580788,0.03683789,0.030491216,0.050048944,0.01037039,0.0072050397,0.3372943,0.009233384,0.061080534,0.04353799,0.0040153763,0.006842648,0.0422479,0.005556804,0.005213202,0.022630488,0.006500194,0.0056843474,0.010850055,0.03127019,0.037846964,0.02544361,0.008756703,0.0044866223,0.0053982115,0.17857623
LAML,0.029394664,0.016360378,0.014432981,0.0378298,0.0040554754,0.028526649,0.041805457,0.012035513,0.05136928,0.053141788,0.18784685,0.045747474,0.054779846,0.018135034,0.0070776064,0.050372835,0.036490288,0.05457331,0.047763,0.058232956,0.0057510743,0.0035411585,0.03325014,0.052609306,0.050479036,0.004398074
COAD,0.08992716,0.08911458,5.1518164e-05,0.007025191,0.040046986,0.06170179,3.6387027e-07,0.013088186,8.087044e-06,8.2692895e-06,2.5644847e-05,4.6806717e-06,0.0020237006,0.03335073,0.04440074,4.6299472e-05,0.0059251995,5.193857e-05,3.3138494e-06,7.45207e-05,0.07861215,0.40215632,0.0029439982,2.6600544e-08,0.003137213,0.1262713
STES,0.011919825,0.036708787,0.023769334,0.024765143,0.052128445,0.08891575,0.004037141,0.029014513,0.0011068213,0.002598381,0.00043551164,0.0013435162,0.0076787896,0.02526742,0.04851497,0.003412224,0.004144609,0.0005009439,0.0008732711,0.004756694,0.080045335,0.495425,0.00320497,0.004386809,0.0011667229,0.043879095
BRCA,0.173938,0.015732542,0.4679774,0.02773022,0.009002311,0.006215055,0.008884875,0.027840799,0.006469396,0.0049158987,0.0061385455,0.018435413,0.005150813,0.007836059,0.0045550386,0.011732608,0.011537921,0.0060268026,0.008635697,0.014028467,0.010930694,0.01373209,0.010846077,0.010669283,0.0066436827,0.10439429
THCA,0.0027966674,0.0014902726,0.002750316,0.001384666,0.00022833723,0.0012806018,0.003602189,0.0042416262,0.002458998,0.0033526241,0.004310892,0.0042801495,0.0042842133,0.00016278191,0.0028360107,0.0029851152,0.0043418673,0.0045674765,0.0037923206,0.0048895436,0.010622086,0.002737611,0.0044266186,0.9098641,0.0056875506,0.006625288
BRCA,0.025587907,0.011630577,0.02575159,0.03964833,0.0064253714,0.019054538,0.0570559,0.026347939,0.055365037,0.040115785,0.06651587,0.076095775,0.056081954,0.038254425,0.0019894016,0.07319673,0.015300192,0.06821192,0.046395946,0.07163317,0.0022900891,0.0015012122,0.03975457,0.05000674,0.062397026,0.023392046
SKCM,0.010109938,0.012211077,2.9606603e-05,0.00331475,0.032758057,0.014340645,0.0002818439,0.0025007196,5.5460073e-06,1.0397069e-05,2.6627691e-05,0.0005400254,0.0027926709,0.010468402,0.0076454915,1.5663452e-05,0.008449433,3.0595835e-05,3.580932e-06,0.00011645636,0.86703295,0.009597107,0.0005383989,1.2536312e-08,0.0018448888,0.015335218
ACC,0.92199534,0.014837737,0.0005697976,0.0041837054,0.0012478277,0.0024014474,0.0004134668,0.0012441204,0.0010568545,0.0007233702,0.00035732868,0.0003300196,0.017931128,0.0037878146,0.0038520237,0.00029936188,0.0014566807,0.0002469513,0.00042479605,0.0012457286,0.0031858077,0.0027952055,0.0018368171,0.00011412233,0.0013690155,0.01209356
GBMLGG,0.0005677143,0.0035106728,0.000778915,0.00080679427,0.0012084747,0.0007731233,0.19524202,0.0020723017,0.0010033551,0.00040258007,0.0012583561,0.75614506,0.0035757278,0.0025866707,0.0034710714,0.010972423,0.002406862,0.00037604547,0.0007580208,0.0021369206,0.004176114,0.0014928229,0.00023380012,0.00030729602,0.00059443084,0.0031426025
HNSC,0.016975341,0.101714745,0.010373436,0.016500456,0.11701458,0.033378884,0.0042256396,0.19494703,0.0046981587,0.0020666053,0.0021317052,0.0031859728,0.027517825,0.042629234,0.13241267,0.03380213,0.072107464,0.0030650203,0.00088473794,0.007975154,0.11566944,0.034513336,0.004778253,0.0010752658,0.0037391554,0.012617821
KIRC,0.026435886,0.052998684,0.05523919,0.04976661,0.02848699,0.030719223,0.038846873,0.043896805,0.03874494,0.04989544,0.032480847,0.039135396,0.04443346,0.023702452,0.027134687,0.07162142,0.04195825,0.033067804,0.04421494,0.045218673,0.00968643,0.038789067,0.03409336,0.039083347,0.033090293,0.027258918
KIRC,0.0069534816,0.008093345,0.0012350343,0.0048218854,0.003553098,0.0074042478,0.0015744074,0.0037769817,0.2861217,0.63291585,0.0014049726,0.0010758141,0.0042735226,0.0027947787,0.0030270999,0.0025472462,0.00407607,0.0015353154,0.0016562883,0.0024419748,0.0047830334,0.0017122643,0.0042443257,0.00066243944,0.004823891,0.0024908844
PRAD,0.029858258,0.04134842,0.05407953,0.017460039,0.021098506,0.020232417,0.05208773,0.017066622,0.028874613,0.05412249,0.046505064,0.046329457,0.06040151,0.03968687,0.05162171,0.04983089,0.03759761,0.04607652,0.052351236,0.046586618,0.020360261,0.015947914,0.04472261,0.05432634,0.041893482,0.009533435
LGG,0.0019656655,0.0057335673,0.0011578993,0.00030126062,0.0005892325,0.00053535023,0.35124534,0.00074491254,0.00024569998,0.00021268266,0.00068933336,0.58885616,0.00089407794,0.021954494,0.0015228589,0.007979739,0.0014459931,0.008089571,0.00033618472,0.0024346209,0.00050602946,0.0016513177,0.00023324286,0.00013798341,0.00037179832,0.00016497012
LUSC,0.032308556,0.104728244,0.0083916215,0.008195807,0.2097877,0.017192842,0.0012188833,0.15554804,0.0005994112,8.6357984e-05,0.00013291679,0.0013368557,0.012490185,0.112102814,0.12408422,0.01034029,0.045053154,6.915501e-05,5.4466906e-05,0.0029864623,0.044709157,0.09626264,0.0006987386,2.6776474e-05,0.00027514243,0.011319564
LUSC,0.06583601,0.13433586,0.060454197,0.0064207045,0.05657951,0.016775317,0.010485279,0.12751882,0.0023422868,0.00083050696,0.0006482593,0.016497472,0.018300075,0.08418843,0.20116411,0.0066044996,0.01488946,0.00048985425,0.00036392536,0.005825945,0.012464319,0.07547953,0.0027025917,8.217061e-05,0.0020698807,0.07665099
BRCA,0.013892028,0.05394089,0.08190654,0.0011843133,0.040661052,0.007036415,0.03338996,0.13405472,0.00096221984,0.0015498919,0.021073038,0.07849894,0.025436832,0.023957632,0.080418006,0.109714165,0.11719308,0.002201071,0.012351195,0.08475139,0.0015214471,0.053806547,0.0015686183,0.0012197779,0.0121203195,0.0055899564
BRCA,0.012295903,0.059138298,0.02926208,0.0055733207,0.026424354,0.008840679,0.049228918,0.07510917,0.007803161,0.0048050503,0.0061060763,0.09849021,0.041655615,0.04097581,0.0657046,0.15087484,0.093294576,0.003264615,0.0064833164,0.042180445,0.017795414,0.1359363,0.0056598242,0.0030312776,0.0041262344,0.005939885
UCEC,0.004193931,0.04535644,0.0063207,0.035070673,0.042936675,0.009823781,0.0002109908,0.0022297879,0.00036099282,0.00018445271,4.936356e-06,1.3568606e-05,0.009933005,0.007003434,0.013746388,2.5699186e-05,0.00019430878,3.831386e-06,9.615639e-06,4.3365162e-05,0.012524956,0.023655351,0.00011773987,7.244016e-07,4.5893514e-05,0.78598875
KIRC,0.01347871,0.009128206,0.0028655776,0.012441012,0.0046198787,0.009015134,0.0029139798,0.00973213,0.21484813,0.6224469,0.0059908843,0.00315038,0.010618215,0.00659428,0.008255043,0.0040751593,0.007903805,0.005452552,0.0033847624,0.008098727,0.0053208643,0.008651408,0.012331519,0.001377653,0.0029542746,0.0043507842
GBMLGG,0.004922775,0.0022484416,0.008296749,0.00518554,0.0021962004,0.0050803805,0.6064751,0.0056387545,0.0075587546,0.0063599823,0.013747029,0.260444,0.012566768,0.006266792,0.000811871,0.0069857496,0.0030306582,0.0059745987,0.0074048885,0.006195105,0.0009791849,0.0026793254,0.0060551167,0.006716826,0.0055431207,0.000636273
ACC,0.897457,0.029674321,0.00012991307,0.0016438838,0.007870024,0.003450648,0.00011660746,0.0014567379,0.00042773117,0.00026802366,4.876551e-05,6.2511856e-05,0.016522603,0.010277573,0.0047101136,0.00013914355,0.0024123094,5.185925e-05,8.1803504e-05,0.0002075399,0.0047143786,0.004002556,0.000303742,1.13339465e-05,0.00019584809,0.013762869
LUAD,0.025362821,0.07986421,0.02864513,0.048310455,0.076630935,0.024944283,0.018605256,0.028769862,0.012742337,0.012770022,0.0010536781,0.0036773945,0.026942458,0.11728578,0.13558878,0.014968778,0.03380418,0.0032509952,0.0023802284,0.017211435,0.013925042,0.24194981,0.008722895,0.00047106054,0.0035773125,0.018544845
BRCA,0.04991611,0.039769933,0.4320037,0.034774747,0.032876723,0.01137175,0.044536557,0.0543336,0.01763478,0.014146792,0.0066518756,0.050872073,0.022307675,0.010531427,0.040886197,0.013237068,0.010574466,0.009268423,0.013522923,0.01077321,0.014776188,0.009008114,0.014685299,0.0047915615,0.0081178285,0.028630998
SKCM,0.0074380827,0.024444044,0.00038420834,0.0026061614,0.01269239,0.005311357,0.00014282185,0.007676418,3.193545e-06,7.662586e-07,1.9238457e-06,0.00011204808,0.005265344,0.036344633,0.038405083,3.5364006e-05,0.006005675,7.645422e-06,4.7075105e-07,0.00011252933,0.700333,0.11291693,0.00016514133,2.73585e-09,5.8369205e-05,0.039536394
STES,0.008502046,0.058327813,0.025568161,0.03671575,0.04015051,0.011354608,0.012986986,0.057056498,0.0045212526,0.008959667,0.0024947785,0.009205827,0.03504,0.08403561,0.10477196,0.009094164,0.018829547,0.004571835,0.007928475,0.013935148,0.050663974,0.35976478,0.006238597,0.0030216472,0.0030841029,0.023176258
LUSC,0.012206747,0.11391168,0.0049284357,0.0049401848,0.16224264,0.017914455,0.0016515113,0.19560872,0.0010953344,0.00016076566,0.0003897987,0.0017470132,0.013216694,0.09142514,0.10479682,0.0037047942,0.06485997,0.00031201044,0.00023683862,0.001146645,0.10026733,0.082184345,0.0015036837,2.7949702e-05,0.0020606953,0.01745981
ACC,0.9926219,0.0002594121,0.00012834789,0.0003732073,0.00027592032,0.00045940143,0.00015015167,0.00040203793,0.00017145406,0.00019806737,4.719391e-05,0.00018832179,0.00040203522,0.00062189414,0.00031672211,0.00018599645,0.00040202355,0.00021256722,7.706439e-05,0.00029459057,0.0010820709,0.0002428483,0.0003385988,2.3177266e-05,8.657322e-05,0.00043831332
BRCA,0.04381043,0.010616887,0.06682573,0.02786536,0.039616358,0.023980152,0.05270933,0.05243562,0.0391279,0.049685318,0.03138939,0.044918414,0.051743068,0.04102922,0.014024193,0.064181015,0.041396406,0.032445353,0.044534847,0.03737289,0.059500434,0.0101262,0.050370086,0.02731056,0.033204496,0.009780342
KIRC,0.0064901556,0.0068398337,0.0076314015,0.0072516142,0.0076241563,0.0063317297,0.007602823,0.0076255957,0.3568097,0.47149283,0.007267836,0.0076184645,0.007275881,0.0074281497,0.0073989215,0.0075916005,0.0069805896,0.0072018276,0.0075802864,0.0075057284,0.007577308,0.0062856083,0.0047070836,0.0075850226,0.0067831664,0.0075125857
GBMLGG,0.018271776,0.009279195,0.035015736,0.015513389,0.0045237904,0.019783463,0.14413472,0.0049491273,0.021517444,0.031943522,0.0065375487,0.010402208,0.06333222,0.028352965,0.14089607,0.03533611,0.016291596,0.0068539735,0.03110708,0.036889087,0.10481,0.037325747,0.01503808,0.0049471557,0.008453597,0.14849442
UCEC,0.0058991187,0.08862459,0.000173143,0.0030394222,0.28589892,0.009027104,1.2464421e-06,0.015864113,8.236501e-05,9.383366e-06,6.4782685e-06,3.3694163e-05,0.0038906476,0.0063591837,0.0133331185,0.00011077928,0.0017174718,1.497444e-05,2.4754609e-06,0.00012749291,0.017677978,0.091778494,0.00016362751,5.4790728e-09,0.00022732274,0.45593685
PRAD,0.035124153,0.005765709,0.02837288,0.012166426,0.012570787,0.026953353,0.03985103,0.06195108,0.037658885,0.037480433,0.029973136,0.051458884,0.05847606,0.05647289,0.0896651,0.059204616,0.04053288,0.038742915,0.05630534,0.06285563,0.0570071,0.008474911,0.03209757,0.024148736,0.028258445,0.008430977
BRCA,0.012117422,0.03612047,0.25229216,0.068616785,0.04331,0.010947429,0.055443477,0.09191139,0.016946746,0.021137629,0.012487991,0.038265612,0.0375715,0.015648076,0.0388485,0.012089751,0.01624704,0.016914027,0.012998199,0.012009227,0.054239724,0.030119354,0.019660477,0.008762258,0.014091836,0.051202912
BRCA,0.028431645,0.044419542,0.082309894,0.011110995,0.009987537,0.031622183,0.058516223,0.041343298,0.08299852,0.04712706,0.047863092,0.039170522,0.021943098,0.015753582,0.008838505,0.06631138,0.034615695,0.048494052,0.041615117,0.048493117,0.03491183,0.017004613,0.05004667,0.044347074,0.03792795,0.0047968095
STES,2.6738105e-08,3.9213944e-07,3.2579488e-09,1.0749279e-08,3.1731977e-06,1.1801727e-07,4.2286333e-15,4.748323e-09,6.445833e-14,3.4221256e-16,1.5183408e-21,2.4889262e-19,7.431077e-10,1.7183075e-07,3.8511686e-08,2.08158e-15,6.2371847e-13,2.5033044e-19,5.672895e-20,1.2568442e-13,2.4361313e-07,0.9999958,7.228415e-14,3.916506e-22,3.6430561e-16,4.730806e-08
KIPAN,0.03518772,0.03529304,0.0044588572,0.031553987,0.014287597,0.01558616,0.0023147876,0.091116704,0.17864846,0.23695232,0.006069268,0.007446552,0.016422523,0.09992633,0.018552845,0.0150841875,0.01596477,0.026854824,0.007694423,0.011459104,0.015536508,0.07608125,0.016086044,0.002891027,0.00855955,0.00997108
UCEC,0.0011556942,0.013591186,0.03500775,0.02345288,0.0063091693,0.0050096144,0.004388971,0.0050075483,0.0030680394,0.002099992,0.00021443269,0.0022664205,0.01735272,0.005690179,0.09485354,0.00037082814,0.00088379584,0.00036670573,0.0012681433,0.00043685944,0.00247182,0.0058960165,0.0013903497,0.00014477824,0.00072449143,0.7665781
KIRC,0.047225337,0.033346407,0.057796884,0.02730606,0.0035562732,0.025420498,0.061947685,0.0484427,0.021816075,0.054343123,0.050061118,0.057834852,0.04702225,0.01788244,0.0073843147,0.06772006,0.049222693,0.050740827,0.039472565,0.06033458,0.008282364,0.0035226636,0.03972277,0.044500805,0.051437624,0.023656977
KIRC,0.0053119026,0.0049106623,0.0009077088,0.004185044,0.001572546,0.011346609,0.0014263298,0.0040696654,0.2295651,0.6776944,0.0023109673,0.003213248,0.00570592,0.0074993037,0.0046270834,0.0035877938,0.005820385,0.0026086823,0.0028465043,0.0043704566,0.0017589766,0.0006584937,0.0051155416,0.0014547863,0.006590755,0.0008411094
BRCA,0.023454158,0.048018016,0.066325754,0.0021148107,0.041735396,0.0045864345,0.02278552,0.13705213,0.0018483851,0.0017410457,0.0063846763,0.0402976,0.05149721,0.018680118,0.049318835,0.23345196,0.08969797,0.0015071295,0.0028943745,0.08999486,0.0029380904,0.04790598,0.002218464,0.0013826243,0.0016377486,0.010530651
OV,0.011259104,0.0050399,0.028421354,0.016884718,0.0058308817,0.007437686,0.05323952,0.059404485,0.016685305,0.020468175,0.010997477,0.12794591,0.037257314,0.006818243,0.007573714,0.37444323,0.05556218,0.012194251,0.019518686,0.03417732,0.02920315,0.013719922,0.021011207,0.009072843,0.010589144,0.005244289
BRCA,0.0035275933,0.006123266,0.8510671,0.005260968,0.0040569142,0.0047270595,0.0055116443,0.002393714,0.02132145,0.008090196,0.007316809,0.0072195795,0.008107659,0.0029260984,0.0015556109,0.008169122,0.0028732077,0.008388607,0.0047830287,0.006626174,0.0028082884,0.0024259156,0.008457617,0.0040814164,0.007488972,0.004691957
KIPAN,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154
BRCA,0.008515192,0.07685751,0.023571022,0.0077299257,0.096797846,0.026952108,0.009370026,0.15000536,0.0038782863,0.00031942796,0.00025538597,0.0019459411,0.026742617,0.16768296,0.14167076,0.009726872,0.05607745,0.0002475778,0.00020685594,0.00071577885,0.038655747,0.1371983,0.0006825003,4.6707995e-05,0.003034573,0.011113188
OV,0.013304332,0.06888669,0.019544462,0.003359096,0.004164065,0.004292978,0.21259478,0.005464495,0.00080515724,0.00024057909,0.00044059794,0.05252773,0.13542637,0.21644357,0.049705025,0.06675703,0.0036747218,0.0021085988,0.0002849592,0.07989564,0.0022909676,0.05134898,0.00023276143,6.408884e-05,0.00075945037,0.0053828503
LGG,0.0066665974,0.0066971206,0.0062795714,0.0037100778,0.0068074428,0.0053164894,0.0706074,0.07689576,0.0077904863,0.0070148315,0.012411293,0.65943986,0.010366834,0.00592174,0.0064077107,0.006407335,0.011680298,0.0055489214,0.008892009,0.007071674,0.0038533297,0.0034710323,0.0055146045,0.0039848066,0.005501674,0.04574112
BRCA,0.021642169,0.06130331,0.3510967,0.011005144,0.043410257,0.051206473,0.06266971,0.020607313,0.04164794,0.030068552,0.009673579,0.029628657,0.009890784,0.014482072,0.024191322,0.01339472,0.008864995,0.019161258,0.022366442,0.01594418,0.01133396,0.012692066,0.011049908,0.015095197,0.014866866,0.07270642
UCEC,3.26864e-16,1.6657513e-06,3.934418e-19,2.0482284e-07,0.6204185,9.705701e-11,8.327496e-30,1.2105008e-09,2.6881808e-28,8.280217e-34,0.0,1e-45,5.9008035e-14,4.4035282e-06,9.006311e-05,8.607408e-33,1.8100976e-26,0.0,5.06e-43,5.673402e-30,0.00015977157,0.0006639093,7.321081e-33,0.0,3.70457e-40,0.3786615
GBMLGG,0.038823538,0.029853564,0.034583855,0.041139685,0.03872089,0.05148798,0.19337413,0.03666516,0.052218232,0.028763065,0.02524218,0.030935189,0.032101505,0.03741438,0.036836144,0.042274825,0.052757926,0.023731045,0.03890373,0.021736464,0.02146389,0.021336019,0.022012249,0.010150571,0.025374442,0.01209945
SKCM,0.0011579492,0.0024881496,4.0255813e-06,0.0005666922,0.00095702294,0.0017178853,1.8585054e-06,0.0010752938,2.549677e-07,1.6393409e-07,5.394475e-07,2.8092006e-07,0.00026982644,0.005473018,0.009225643,3.0384624e-06,0.0007019473,1.1616218e-06,7.9196795e-08,2.077664e-05,0.96615624,0.0027660595,5.082252e-05,1.1526732e-08,1.7590479e-05,0.007343662
STES,1.899196e-05,0.00016866934,7.354907e-07,3.3804672e-06,6.9958885e-05,4.630229e-06,4.516603e-08,8.065269e-05,2.415056e-08,1.6963577e-08,1.3308969e-07,2.0894322e-07,6.2363315e-06,4.058869e-05,6.720455e-05,2.869229e-07,6.0326247e-06,4.940743e-07,3.4300636e-09,7.749476e-07,3.6756826e-06,0.9993759,2.185762e-06,2.897031e-10,1.070203e-06,0.00014814152
BRCA,0.03597563,0.1574289,0.0571724,0.055421952,0.016661065,0.066641,0.0539026,0.013755447,0.04115391,0.025499782,0.016405966,0.02208232,0.027149636,0.028778424,0.009675482,0.041342475,0.02994621,0.020907165,0.014670769,0.07487238,0.0542076,0.036463864,0.047518954,0.01584094,0.021257604,0.015267594
LUSC,0.022769678,0.09483488,0.01557857,0.042260822,0.13125983,0.031068893,0.0054155486,0.04848979,0.014740757,0.014232662,0.0048691146,0.002043851,0.045427777,0.09782649,0.03619365,0.01141376,0.09300728,0.010049574,0.0029740906,0.029463181,0.087158725,0.02762573,0.015270953,0.0021642789,0.010688251,0.103171855
