a,b,cosine
ACC,DLBC,0.39953118562698364
KIRC,LUAD,0.3965360224246979
OV,PRAD,0.3956650495529175
STES,THYM,0.3946986496448517
ACC,PAAD,0.3930501639842987
ACC,TGCT,0.38946011662483215
PAAD,TGCT,0.3864670991897583
CESC,GBMLGG,0.38628262281417847
BRCA,LGG,0.38159266114234924
GBMLGG,PRAD,0.38112232089042664
ACC,KIPAN,0.37948906421661377
SARC,TGCT,0.37570494413375854
KIRC,LIHC,0.37322258949279785
LAML,LGG,0.36921370029449463
PCPG,STES,0.3676663637161255
HNSC,KIRC,0.3668307960033417
ACC,SARC,0.3657706677913666
HNSC,THYM,0.3648322820663452
LUAD,THYM,0.3598126769065857
LUSC,THYM,0.3585735261440277
OV,SKCM,0.357171893119812
BLCA,THYM,0.3568098545074463
PCPG,SKCM,0.3551234006881714
GBMLGG,LAML,0.353660523891449
BRCA,TGCT,0.3536198139190674
PAAD,THYM,0.3524545133113861
PCPG,UCEC,0.3499309718608856
ACC,BRCA,0.34803125262260437
THYM,UCEC,0.34738385677337646
LUSC,PCPG,0.3448883295059204
BLCA,PCPG,0.3433475196361542
PCPG,THYM,0.34061262011528015
CESC,OV,0.3392895758152008
LIHC,THYM,0.3392597734928131
LUAD,PCPG,0.3387848436832428
LGG,LUSC,0.33840084075927734
DLBC,KIRC,0.33490753173828125
GBMLGG,KIPAN,0.3320128917694092
SKCM,THYM,0.32873082160949707
COAD,THYM,0.3285030126571655
CESC,PCPG,0.3274235427379608
BRCA,KIRC,0.32678893208503723
KIRC,PRAD,0.3265330195426941
CESC,THYM,0.32621344923973083
KIPAN,PCPG,0.32100802659988403
KIPAN,OV,0.32065510749816895
COAD,PCPG,0.32015103101730347
HNSC,PCPG,0.3193093240261078
SARC,THYM,0.3141789734363556
BRCA,THYM,0.31318727135658264
LIHC,PCPG,0.30968332290649414
LGG,STES,0.3089306950569153
KIRC,PAAD,0.3075019121170044
PRAD,TGCT,0.30621469020843506
KIRC,SARC,0.3023959696292877
BLCA,LGG,0.3008343577384949
PCPG,SARC,0.29899007081985474
LGG,LUAD,0.29550158977508545
DLBC,PCPG,0.2952696979045868
LGG,LIHC,0.2945105731487274
ACC,PRAD,0.29333382844924927
KIRC,TGCT,0.29237446188926697
DLBC,GBMLGG,0.2901136577129364
OV,THYM,0.28643208742141724
COAD,LGG,0.28074178099632263
PCPG,TGCT,0.27835431694984436
DLBC,THYM,0.2754172086715698
BRCA,PCPG,0.2737123370170593
DLBC,OV,0.26892539858818054
SKCM,THCA,0.26725131273269653
PAAD,PCPG,0.26098984479904175
KIPAN,THYM,0.2599707245826721
ACC,GBMLGG,0.25964415073394775
PRAD,THYM,0.25824031233787537
ACC,KIRC,0.257480263710022
ACC,OV,0.2565978467464447
GBMLGG,THYM,0.256399005651474
PCPG,PRAD,0.25279003381729126
TGCT,THYM,0.2516743540763855
KIRC,PCPG,0.247129425406456
GBMLGG,TGCT,0.24095501005649567
GBMLGG,KIRC,0.23067829012870789
ACC,PCPG,0.22995607554912567
LAML,OV,0.22731074690818787
GBMLGG,PCPG,0.22504284977912903
LGG,PRAD,0.22282101213932037
LGG,UCEC,0.21970605850219727
LAML,PAAD,0.21880462765693665
ACC,THYM,0.2119557112455368
OV,TGCT,0.21116620302200317
HNSC,LAML,0.20531538128852844
KIRC,OV,0.19933120906352997
LAML,SARC,0.19712157547473907
LAML,STES,0.19640177488327026
LAML,LUSC,0.1916230171918869
LGG,SKCM,0.19137564301490784
BRCA,LAML,0.19104260206222534
CESC,LGG,0.1889156550168991
COAD,LAML,0.18309931457042694
LAML,LUAD,0.18280266225337982
LAML,LIHC,0.1791153848171234
KIPAN,LGG,0.1778874397277832
BLCA,LAML,0.17589342594146729
LGG,THYM,0.17582644522190094
OV,PCPG,0.17442330718040466
KIRC,THYM,0.17342115938663483
COAD,THCA,0.16082867980003357
LUAD,THCA,0.1577138751745224
LAML,UCEC,0.1550670713186264
STES,THCA,0.1489412635564804
PRAD,THCA,0.14809976518154144
ACC,LGG,0.14233887195587158
DLBC,LGG,0.1419050395488739
LAML,SKCM,0.14133240282535553
LGG,PCPG,0.13651758432388306
CESC,LAML,0.13510534167289734
LUSC,THCA,0.13234026730060577
DLBC,THCA,0.1323396861553192
THCA,UCEC,0.13197454810142517
LAML,PRAD,0.12868836522102356
CESC,THCA,0.1264256238937378
LAML,TGCT,0.11760619282722473
KIRC,LGG,0.11674314737319946
KIPAN,LAML,0.1165817454457283
LGG,TGCT,0.1162334457039833
HNSC,THCA,0.11353642493486404
PCPG,THCA,0.11108274012804031
DLBC,LAML,0.11079254746437073
BLCA,THCA,0.1098707839846611
LAML,THYM,0.1075935810804367
ACC,LAML,0.10222043097019196
LIHC,THCA,0.09949624538421631
BRCA,THCA,0.09488259255886078
PAAD,THCA,0.0939314067363739
SARC,THCA,0.09388196468353271
KIPAN,THCA,0.09112972766160965
TGCT,THCA,0.08520904928445816
ACC,THCA,0.07938503473997116
KIRC,LAML,0.07853852957487106
GBMLGG,THCA,0.07764826714992523
LAML,PCPG,0.0772683322429657
THCA,THYM,0.07371408492326736
KIRC,THCA,0.06705597043037415
OV,THCA,0.05714324489235878
LGG,THCA,0.03398514539003372
LAML,THCA,0.021009761840105057
