true_class,h0__ACC,h0__BLCA,h0__BRCA,h0__CESC,h0__COAD,h0__DLBC,h0__GBMLGG,h0__HNSC,h0__KIPAN,h0__KIRC,h0__LAML,h0__LGG,h0__LIHC,h0__LUAD,h0__LUSC,h0__OV,h0__PAAD,h0__PCPG,h0__PRAD,h0__SARC,h0__SKCM,h0__STES,h0__TGCT,h0__THCA,h0__THYM,h0__UCEC,h3__ACC,h3__BLCA,h3__BRCA,h3__CESC,h3__COAD,h3__DLBC,h3__GBMLGG,h3__HNSC,h3__KIPAN,h3__KIRC,h3__LAML,h3__LGG,h3__LIHC,h3__LUAD,h3__LUSC,h3__OV,h3__PAAD,h3__PCPG,h3__PRAD,h3__SARC,h3__SKCM,h3__STES,h3__TGCT,h3__THCA,h3__THYM,h3__UCEC
PAAD,0.002309648,0.0023849162,0.06567277,0.0048000044,0.062663294,0.0015603096,0.04980538,0.05858847,0.006600587,0.0057909954,0.0011490905,0.005410421,0.053219397,0.038465075,0.012483302,0.13621758,0.3040229,0.0019685756,0.018120993,0.041758694,0.0064509846,0.08068401,0.006475868,0.0034945651,0.006275441,0.023626713,0.0011794918,0.0011732208,0.052707877,0.0025416883,0.05701615,0.0007413562,0.037622813,0.0521823,0.0036771146,0.00297111,0.00046036148,0.0027934294,0.0451611,0.029551381,0.008529087,0.1460056,0.3976959,0.00097348617,0.011940154,0.033249114,0.0043123956,0.07925456,0.0038943554,0.0017119693,0.003594409,0.01905959
SKCM,5.518043e-07,7.918095e-05,1.4533871e-06,6.517566e-05,0.0008027747,1.2086929e-05,3.1389031e-09,0.00036451878,5.7623765e-08,3.6614718e-11,3.0264684e-12,2.6005769e-09,1.0100563e-06,9.022007e-05,0.0019353199,4.9980985e-11,1.8015378e-09,1.9479505e-11,3.5473763e-11,5.1420745e-08,0.99628836,0.00014909872,2.5053392e-11,6.4430657e-12,9.8142106e-11,0.0002101644,6.1723085e-08,1.4620312e-05,1.6111213e-07,1.171757e-05,0.00018166311,2.152428e-06,1.638958e-10,7.517536e-05,4.1288852e-09,1.0733466e-12,6.840101e-14,1.342906e-10,1.0356724e-07,1.5643174e-05,0.00051456335,1.6279432e-12,9.432379e-11,5.792804e-13,1.0241156e-12,3.973644e-09,0.99911225,2.590863e-05,7.9468376e-13,1.4392503e-13,3.89644e-12,4.594774e-05
OV,0.012277356,0.002468095,0.10844703,0.020795504,0.0031002264,0.010732909,0.13904466,0.018279731,0.17868617,0.09324121,0.014322756,0.061592925,0.01816214,0.028802376,0.0009759232,0.0133566065,0.011142321,0.03166362,0.08910364,0.03433694,0.0075698374,0.016098358,0.02420918,0.013165878,0.03445329,0.013971297,0.008287888,0.0013435618,0.11206464,0.01785316,0.0015452169,0.007050541,0.17517658,0.014338588,0.21542561,0.09139467,0.009693539,0.05730634,0.013057122,0.02613114,0.00044599624,0.009112869,0.0070846793,0.026602052,0.08838863,0.028221779,0.004631415,0.014148177,0.021866305,0.008068449,0.030670358,0.010090709
KIPAN,0.001181298,0.005422192,0.12595761,0.018313402,0.10627767,0.0051064445,0.04999924,0.036000777,0.010474246,0.01889228,0.00019975321,0.009279498,0.09007867,0.057142157,0.02474628,0.066247284,0.024196716,0.000121576384,0.046160426,0.041465122,0.011613655,0.2098023,0.0038502547,0.0014551235,0.0030810467,0.032935027,0.0005812798,0.0032367986,0.11710046,0.012785602,0.11844731,0.0030547846,0.03963346,0.029011013,0.005883288,0.013249004,6.959367e-05,0.005333047,0.08890556,0.05882322,0.019229515,0.05853807,0.018285038,4.0122242e-05,0.036983658,0.035245158,0.00808346,0.29571906,0.0019472374,0.0006437446,0.0015437702,0.027626736
KIPAN,6.995778e-05,1.1931621e-05,0.0009906945,0.00055920717,1.2730154e-05,0.00023498014,0.00010452805,1.5080612e-05,0.46044457,0.49425122,0.007798273,0.00012688067,1.7093578e-05,1.9175148e-05,3.5984604e-06,3.5272664e-05,4.4256605e-05,0.013844619,0.0021580243,0.0008910759,8.8740344e-05,1.3417785e-05,0.00018297455,0.0047797677,0.013180611,0.000121402634,1.3831937e-05,1.6969923e-06,0.00026823115,0.00014949542,1.7964803e-06,5.9415957e-05,2.0563764e-05,2.2390052e-06,0.4531577,0.52926475,0.0029788855,2.7235219e-05,2.6543594e-06,3.0439564e-06,4.3570978e-07,5.976115e-06,8.056799e-06,0.005837624,0.00068098307,0.00025145235,1.7308961e-05,1.8882909e-06,4.2565116e-05,0.0016511277,0.0055254,2.5675427e-05
BRCA,0.00025096402,0.00015556233,0.15228346,0.010765214,0.000395532,0.0015678873,0.0031211036,0.0006452444,0.0056624874,0.0032249405,0.4027786,0.008519536,0.0005604781,0.00036729767,4.208589e-05,0.0038794745,0.0038723254,0.13361998,0.09760903,0.014847783,0.0011207254,0.00017737482,0.0009686731,0.07949416,0.07319109,0.0008790333,0.00014736502,8.6978274e-05,0.14239328,0.009252406,0.00026094733,0.001092281,0.0023279807,0.00039826086,0.004085384,0.0022394892,0.45402306,0.00650407,0.00037543365,0.00021630962,2.3480523e-05,0.0027879751,0.0028201528,0.12952006,0.08978521,0.01192211,0.00083313964,9.68663e-05,0.0006307083,0.070956275,0.066663094,0.0005576834
PRAD,0.0070547913,0.0037617707,0.18562606,0.061370507,0.014763591,0.0107422955,0.010814239,0.012308707,0.07700279,0.015102733,0.009428167,0.012275088,0.029102009,0.013925384,0.0024918253,0.0636574,0.019237367,0.035477903,0.10457881,0.045903258,0.015728984,0.012338906,0.030754678,0.16301334,0.029256111,0.014283266,0.004374696,0.0020884553,0.2352094,0.063189454,0.010899967,0.0076729273,0.006104845,0.00814037,0.07174234,0.010341785,0.005493323,0.0075574717,0.023645438,0.009761066,0.0012201965,0.06129702,0.015381106,0.03075044,0.10983412,0.040756408,0.011906463,0.009565823,0.026060728,0.19066794,0.025697852,0.010640364
GBMLGG,5.4555e-05,8.9583846e-05,0.26351833,0.015529501,0.0023899577,0.003497409,0.006306523,0.0023068127,0.004854931,0.0073314467,0.09821605,0.01359153,0.0009400408,0.00082765066,0.0006353534,0.011896321,0.0020194005,0.01832794,0.14527163,0.077100225,0.0008193697,0.00078999205,0.00038804638,0.050800707,0.26684192,0.005654756,2.9338147e-05,5.120277e-05,0.28600076,0.013110666,0.0017617723,0.0026438816,0.004770755,0.001669955,0.0035641938,0.005622078,0.09222115,0.010935458,0.0006201366,0.00054057455,0.00041713964,0.009506057,0.0013982556,0.014754112,0.14536974,0.072417326,0.00055377686,0.0005282531,0.00022811965,0.044163805,0.28270563,0.0044158846
UCEC,0.00084323884,0.0049904333,0.19744085,0.0063774697,0.034377042,0.0031736402,0.044117417,0.03038044,0.0059067495,0.0055883047,0.0013124311,0.0213485,0.0054439767,0.0032525733,0.005131434,0.14281285,0.10220192,0.0016950626,0.022234993,0.02869095,0.00084593374,0.03223016,0.00083834835,0.0050503956,0.0035927007,0.29012218,0.00034510499,0.0027400472,0.19960247,0.0037531713,0.030498972,0.0016551949,0.03331903,0.022007028,0.003143088,0.0029077693,0.0005263606,0.014435404,0.002993328,0.0016107169,0.0028116566,0.14686535,0.095919855,0.00075865124,0.014740619,0.01985721,0.0003533034,0.023114378,0.00030691878,0.0024410854,0.0017492791,0.371544
GBMLGG,0.00063669076,0.007886087,0.049783483,0.14280815,0.0055055222,0.0074127954,0.2682985,0.0133901695,0.08897996,0.04089827,0.0020732135,0.09183552,0.019273067,0.025831094,0.0046741585,0.012625989,0.017780798,0.009353712,0.019675171,0.046709523,0.0073418464,0.007765255,0.0034971915,0.008740383,0.004283571,0.09293986,0.00042218823,0.0063164756,0.04837196,0.15123701,0.004300656,0.0059810095,0.30357304,0.011263301,0.083491065,0.036100507,0.001412077,0.090080924,0.016757216,0.023041844,0.0035164147,0.010015395,0.015174641,0.007419929,0.016552638,0.042856216,0.0057309545,0.0059653097,0.0024808547,0.0066783424,0.0031290464,0.09813096
LAML,0.0022358606,0.0025583736,0.29867065,0.06218995,0.017253261,0.0058817533,0.005773891,0.0067067146,0.042511668,0.041164253,0.070243955,0.0038829078,0.008661397,0.005468775,0.0015346338,0.02454368,0.00910785,0.12152244,0.061706148,0.055629317,0.0071413596,0.004173549,0.013536268,0.061017428,0.055097315,0.011786646,0.0016590432,0.001888688,0.32613426,0.061682306,0.01544716,0.004895614,0.004271813,0.0052406774,0.037837613,0.036948092,0.07477427,0.0028258765,0.006981633,0.004229605,0.0010651534,0.021429734,0.007913234,0.12963563,0.059746858,0.053103402,0.0058430624,0.0031213087,0.011484029,0.057921764,0.053652246,0.010266925
COAD,3.598129e-05,0.00046311863,6.7682115e-05,0.00036101814,0.5114365,0.00016368761,5.589107e-07,0.0016871628,7.936412e-06,2.2698537e-10,8.030567e-11,4.635165e-10,5.4020893e-06,7.753808e-05,0.00063902617,3.1645286e-10,2.8157003e-09,2.5694222e-10,3.2067852e-08,2.8210698e-08,0.0006576847,0.011308548,1.1242641e-09,1.1218282e-09,1.6534464e-08,0.47308806,1.0112115e-05,0.00016643283,1.7116394e-05,0.000112669375,0.5073315,5.9774895e-05,7.674093e-08,0.0006827994,1.5253028e-06,1.2217931e-11,4.028294e-12,2.78495e-11,1.0226111e-06,2.0238167e-05,0.00022694618,1.8037575e-11,2.333124e-10,1.4685274e-11,3.3890108e-09,2.942909e-09,0.00023193946,0.005301299,8.1305025e-11,7.4708455e-11,1.7506919e-09,0.48583657
STES,0.00046794806,0.003838875,0.006430059,0.0012252585,0.081555925,0.004192944,0.013041328,0.017663376,0.009063197,0.0019415043,1.4467838e-09,0.0009751675,0.11504393,0.048781544,0.029649846,0.028326172,0.0031363526,2.3190296e-09,0.0014402401,0.007349025,0.024019785,0.51610935,0.00034569684,9.612512e-07,2.4344408e-05,0.085377105,0.00016322036,0.0017746439,0.0029258302,0.0004694457,0.06397568,0.00219709,0.007441842,0.010416938,0.004431991,0.0007299924,8.0906046e-11,0.0003419144,0.10161219,0.034121078,0.019057706,0.017712332,0.0014189986,1.39293e-10,0.0005628224,0.0037057933,0.015230127,0.64095646,0.000107333566,1.3479367e-07,5.52888e-06,0.07064092
BRCA,0.0023601153,0.0005152885,0.5946637,0.03108573,0.010198579,0.0017877506,0.021993564,0.009724585,0.013567954,0.017831676,0.007218469,0.027034104,0.0065854094,0.015972558,0.0007417897,0.00893687,0.003032895,0.04843713,0.012328808,0.02605795,0.0051240297,0.0074292887,0.0011598871,0.022142978,0.007235296,0.09683353,0.0009824593,0.000151093,0.73976207,0.020005336,0.005549141,0.0006586094,0.011586208,0.0045953146,0.0064674625,0.008865566,0.0031849302,0.016485054,0.0026172905,0.010080146,0.00022975304,0.0041373353,0.0011102118,0.03429427,0.006139182,0.014989529,0.0024167658,0.0038521562,0.0003745833,0.012579652,0.0033130916,0.08557279
THCA,3.9209557e-05,1.4155261e-05,0.0006772368,0.0004294296,0.0002223996,3.9197803e-05,0.00036392943,3.28713e-05,0.00015792283,0.00014489732,0.0056376983,0.0009729671,6.564753e-05,0.00041694153,1.1382123e-05,5.8862854e-05,5.5283817e-05,0.0032867184,0.004183886,0.00046264223,0.0053596436,2.2491608e-05,4.611287e-05,0.9714387,0.005391707,0.00046802362,1.4529062e-05,4.9510695e-06,0.0002965294,0.00019984067,9.9567194e-05,1.4163035e-05,0.00015204652,1.1501592e-05,6.2054205e-05,5.718661e-05,0.0030796188,0.00045880766,2.512959e-05,0.00019842444,3.6558672e-06,2.1906697e-05,2.0904714e-05,0.0016986659,0.0021597347,0.00020656193,0.0032570062,7.4330474e-06,1.7129369e-05,0.9847403,0.0029600572,0.00023230081
BRCA,0.00072810886,0.0019481358,0.11622858,0.026751569,0.004205852,0.017014831,0.0153002,0.0034145317,0.0048552253,0.005402797,0.09040952,0.0077953655,0.0023997533,0.0026606563,0.0007174415,0.007152888,0.025915055,0.27197662,0.11392769,0.06868795,0.0034956133,0.0016783056,0.008808085,0.09489579,0.10120508,0.0024242816,0.00030470372,0.0010300193,0.12102424,0.022500074,0.0024952523,0.013880305,0.009851225,0.0016757027,0.0025290514,0.0030000722,0.08444473,0.004602192,0.0010956565,0.0013592762,0.0003144839,0.004108387,0.02048057,0.34239957,0.11342141,0.056860097,0.0022096646,0.00086052273,0.006003537,0.080791,0.10146436,0.0012938856
SKCM,1.1634198e-05,0.0006463876,8.413471e-06,0.00013450168,0.0007616338,7.15143e-05,4.72875e-05,0.0003859111,1.9248915e-07,7.879941e-09,7.0134922e-12,2.3167232e-08,4.9883383e-05,0.002055007,0.0038758274,3.2370647e-08,1.6296231e-06,1.0583442e-11,5.7941705e-09,2.272142e-06,0.99041593,0.000548343,2.8233883e-08,1.18729245e-11,1.3918983e-08,0.0009835801,1.73359e-06,0.00016183178,1.0006041e-06,2.7072076e-05,0.00018003401,1.48565705e-05,7.93077e-06,8.420633e-05,1.5567375e-08,4.4617485e-10,1.8283672e-13,1.6262264e-09,8.478098e-06,0.00056428893,0.0011485749,2.2001099e-09,1.8684416e-07,2.8166683e-13,2.9336317e-10,2.6074918e-07,0.99740374,0.00012370193,1.9718533e-09,2.9321722e-13,9.2732305e-10,0.0002721024
ACC,0.992815,0.0002974134,6.3411426e-05,8.702629e-05,0.00024563703,0.00026545255,0.00047269577,0.00010332908,0.00019644503,5.7401536e-05,2.2388734e-07,0.00012125483,0.002409755,6.6321525e-05,6.471424e-05,8.958525e-06,0.000333594,7.1892566e-07,2.74677e-05,9.442607e-05,0.0004907462,0.00033617733,0.0003445887,9.886698e-06,8.247332e-06,0.001079033,0.9985747,5.4583794e-05,6.9235025e-06,1.1828001e-05,3.9216855e-05,4.747522e-05,8.3141895e-05,1.3762421e-05,2.7308866e-05,6.4774704e-06,1.2085188e-08,1.6614951e-05,0.00058259326,8.0846485e-06,8.401597e-06,7.8129256e-07,5.815001e-05,4.566485e-08,2.8288337e-06,1.2257355e-05,9.248094e-05,5.4807315e-05,6.1326726e-05,8.6712e-07,7.4941045e-07,0.00023458886
GBMLGG,0.00036217415,0.0005371119,0.0010475097,0.0004289362,0.006420867,0.00015194529,0.53962386,0.0023628334,0.00015942233,0.00027262635,0.0026120648,0.400202,0.0015700058,0.0005612418,0.00022093154,0.008191,0.012028419,0.0005675813,0.0018997121,0.0025822376,0.0008132814,0.0025335797,5.8724905e-05,0.0016251748,0.0011505418,0.012016196,9.856652e-05,0.00015660808,0.00029604763,0.000110633635,0.0029624102,3.6203524e-05,0.5791616,0.0008612292,3.1620857e-05,6.253173e-05,0.001025965,0.3943059,0.00053704856,0.00015788092,5.5232278e-05,0.0038284753,0.0060201935,0.00015896314,0.00062386383,0.0009550342,0.0002506991,0.0009636281,1.1529743e-05,0.0005284751,0.00037463,0.0064250045
HNSC,0.00018563763,0.051756196,0.14273928,0.023651872,0.028139558,0.0010189667,0.0018832093,0.50843275,0.0025315078,0.0016341713,1.1300577e-06,0.00036298603,0.008068358,0.043282993,0.029545585,0.0630419,0.012652035,4.0977687e-07,0.0005647397,0.00888484,0.010927059,0.057105325,0.0003160781,7.173192e-06,4.6471696e-06,0.003261468,0.0001059606,0.0458683,0.12661122,0.018669238,0.022584114,0.0006802005,0.0011592755,0.58207715,0.0015934171,0.001015143,4.4538757e-07,0.00020320874,0.0059619443,0.036740046,0.024476198,0.054827064,0.010155233,1.531649e-07,0.00032457683,0.006352892,0.008212234,0.049893707,0.00018281477,3.1031634e-06,2.0335192e-06,0.002300337
KIRC,0.00161014,0.0026051223,0.022122568,0.020455046,0.0066001667,0.007084031,0.008204901,0.004219673,0.11995287,0.46401218,0.0012848057,0.002154993,0.032244958,0.010326247,0.0034104283,0.038374074,0.0074658603,0.0052901027,0.15071534,0.02252269,0.014102286,0.0071285595,0.013972318,0.012022631,0.009138337,0.012979641,0.00062991906,0.001108921,0.012700356,0.013633261,0.003250045,0.003943084,0.0039211125,0.0018504596,0.11494571,0.581461,0.00045400189,0.00080626446,0.024228109,0.005842,0.0014779352,0.029798994,0.003931751,0.0024000308,0.13810349,0.014977223,0.008909574,0.0035586315,0.008350674,0.0064292788,0.0051656426,0.00812252
KIRC,0.0008554879,0.00034607013,0.0012306535,0.010031945,0.001341099,0.00092994067,0.0015550752,0.0014564507,0.12453958,0.82897365,9.4278863e-07,0.0002777339,0.0021809633,0.0035747238,0.0006118474,0.00091015577,0.0018852907,6.9223847e-06,0.0006000411,0.001130306,0.004549246,0.0025241352,0.008913912,5.9099497e-05,9.919295e-06,0.0015048729,0.00044244417,0.00016838935,0.00059876824,0.006530548,0.00071140757,0.00051171775,0.0008141688,0.0007713891,0.09708005,0.87546885,2.9754307e-07,0.00012305308,0.00124384,0.0021233116,0.00029791222,0.00044548392,0.0010730952,2.4727913e-06,0.0002889175,0.00056948955,0.0027561171,0.001419753,0.0056956266,2.3481574e-05,3.8122382e-06,0.0008356032
PRAD,0.0018374906,0.0022945458,0.10538556,0.13840131,0.0011851912,0.0071122,0.0033149756,0.00097403367,0.02286448,0.058504157,0.13145037,0.0070330305,0.0034624333,0.0022838665,0.00033054478,0.0033975288,0.0028503353,0.2766727,0.07136888,0.028230403,0.0047337506,0.0022328387,0.007713916,0.069236755,0.042220104,0.004908579,0.00086733646,0.0011004183,0.090182126,0.14625974,0.00051371224,0.0046643396,0.0015611618,0.0003861687,0.016747799,0.04732007,0.13678597,0.0041362573,0.0019359515,0.0011055638,0.00011600357,0.0017046222,0.0014612589,0.35014436,0.06670863,0.021168798,0.002819507,0.0010119522,0.0048429063,0.058213923,0.03522621,0.0030152218
