row_index,truth,exact__ACC,exact__BLCA,exact__BRCA,exact__CESC,exact__COAD,exact__DLBC,exact__GBMLGG,exact__HNSC,exact__KIPAN,exact__KIRC,exact__LAML,exact__LGG,exact__LIHC,exact__LUAD,exact__LUSC,exact__OV,exact__PAAD,exact__PCPG,exact__PRAD,exact__SARC,exact__SKCM,exact__STES,exact__TGCT,exact__THCA,exact__THYM,exact__UCEC,confidence__ACC,confidence__BLCA,confidence__BRCA,confidence__CESC,confidence__COAD,confidence__DLBC,confidence__GBMLGG,confidence__HNSC,confidence__KIPAN,confidence__KIRC,confidence__LAML,confidence__LGG,confidence__LIHC,confidence__LUAD,confidence__LUSC,confidence__OV,confidence__PAAD,confidence__PCPG,confidence__PRAD,confidence__SARC,confidence__SKCM,confidence__STES,confidence__TGCT,confidence__THCA,confidence__THYM,confidence__UCEC
10,STES,0.016517999,0.006986279,0.057434525,0.029404052,0.0054439977,0.002784436,0.01945165,0.0040559564,0.045267396,0.032836966,0.015867706,0.01588309,0.061707437,0.004872656,0.0013722352,0.012306705,0.0050175856,0.07417733,0.12886232,0.0126012685,0.007089761,0.007195776,0.03566087,0.026901871,0.055694316,0.31460577,0.0144261,0.0046704947,0.055284467,0.016650148,0.0022491233,0.0009905649,0.018331269,0.0010979569,0.037812445,0.017535914,0.009224733,0.009395882,0.045001276,0.0022871513,0.00059887936,0.013056637,0.0014526366,0.055304177,0.15146846,0.015242356,0.0019322677,0.008493875,0.02376409,0.0084621245,0.09297995,0.39228705
11,HNSC,0.00059710484,0.009476899,0.023823982,0.20170677,0.0383873,0.0044524074,0.0035701594,0.09985403,0.01852746,0.005093047,7.959512e-07,0.00019607627,0.0570783,0.091127604,0.14122793,0.013109687,0.007122961,3.979704e-07,0.004763096,0.024380991,0.058133047,0.18871406,0.0035834974,6.0412134e-05,0.00045567562,0.004556327,0.00038610338,0.021519875,0.023016233,0.24171317,0.034822024,0.0024198282,0.0029504762,0.07782716,0.020890204,0.0021526583,7.8657115e-07,4.923195e-05,0.057027318,0.147346,0.08575548,0.022338554,0.0025295764,4.1122945e-07,0.0062470837,0.01730554,0.048124183,0.18054187,0.0012081948,9.66588e-06,0.0002046672,0.0036136196
12,KIRC,0.006092002,0.017036011,0.13197728,0.054195795,0.00943217,0.004945944,0.023597907,0.01966979,0.28256062,0.16209699,0.0013219119,0.004370235,0.04743388,0.07482527,0.001866834,0.01832225,0.008947817,0.0034130786,0.016509112,0.024047516,0.01406534,0.020673139,0.02592997,0.0014479351,0.019891374,0.0053298664,3.7788053e-05,0.005597782,0.1493374,0.047560368,0.004469751,0.0040768674,0.015912065,0.01773744,0.27405152,0.11897544,0.0019237984,0.0013289122,0.08075173,0.078602165,0.001824389,0.026015094,0.008280125,0.0038339426,0.04393067,0.0279487,0.0062032696,0.01995377,0.026721084,0.0008227572,0.03183672,0.0022664494
13,PAAD,0.0010720585,0.0023634888,0.08351935,0.0071435547,0.04552811,0.0020463255,0.02925512,0.033077512,0.008437989,0.0053739017,0.00095609686,0.0033062662,0.043421626,0.040741656,0.011055463,0.10646378,0.38118908,0.0009794215,0.0077969464,0.041832477,0.003666884,0.11307753,0.0046986835,0.0015966296,0.002008714,0.01939142,0.0001929155,0.0016059232,0.08225939,0.008028345,0.042557996,0.0021307971,0.031038878,0.031658057,0.007214344,0.0051634843,0.00063626294,0.0012123362,0.052726418,0.042610765,0.015164872,0.06773365,0.43966597,0.0003909635,0.0046774736,0.034963116,0.0034862023,0.108416125,0.0048786793,0.0009920655,0.0002588604,0.010336133
14,SKCM,1.3906124e-06,5.399134e-06,8.1134644e-08,6.4658916e-06,0.00015091394,4.8946475e-08,3.4565422e-09,6.5049564e-05,7.0765283e-09,1.1822227e-11,1.1099503e-12,2.437608e-10,2.7283198e-08,9.0958665e-06,0.00020620663,1.6322742e-11,6.6793726e-10,2.9362962e-12,3.082225e-11,2.181286e-09,0.99953395,3.006425e-06,2.7353616e-11,1.1746208e-12,1.3748172e-10,1.8349678e-05,1.0227244e-07,4.8413585e-07,6.331723e-07,1.6105859e-06,0.00012850789,5.426047e-08,5.3266946e-09,0.000113869195,1.4876493e-09,1.1851754e-11,1.1099503e-12,2.437573e-10,1.2180454e-08,3.8645917e-06,0.00039641457,1.631779e-11,6.6638567e-10,2.9362962e-12,3.083028e-11,7.446794e-09,0.9993269,9.803547e-06,2.7353547e-11,1.1746208e-12,1.7096305e-10,1.7604469e-05
15,OV,0.005820883,0.0029226234,0.0982695,0.014896929,0.005778575,0.017543014,0.109295815,0.021376442,0.16717985,0.13910742,0.013904611,0.046022862,0.012765142,0.030696398,0.0014178307,0.025536656,0.0140379025,0.037646096,0.109212436,0.040527247,0.006976996,0.0107028205,0.013526531,0.015493641,0.028037494,0.0113042835,0.005820883,0.0029226234,0.0982695,0.014896929,0.005778575,0.017543014,0.109295815,0.021376442,0.16717985,0.13910742,0.013904611,0.046022862,0.012765142,0.030696398,0.0014178307,0.025536656,0.0140379025,0.037646096,0.109212436,0.040527247,0.006976996,0.0107028205,0.013526531,0.015493641,0.028037494,0.0113042835
16,KIPAN,0.0011274695,0.0047079455,0.15284207,0.01747879,0.10688658,0.0043301806,0.021157328,0.03324351,0.008500779,0.017429324,0.00021205508,0.009053726,0.09136405,0.054335076,0.023421079,0.06036265,0.022787908,0.00013694192,0.050211348,0.043538537,0.010965059,0.22252466,0.0037509017,0.0011665362,0.004012029,0.03445343,0.0011274695,0.0047079455,0.15284207,0.01747879,0.10688658,0.0043301806,0.021157328,0.03324351,0.008500779,0.017429324,0.00021205508,0.009053726,0.09136405,0.054335076,0.023421079,0.06036265,0.022787908,0.00013694192,0.050211348,0.043538537,0.010965059,0.22252466,0.0037509017,0.0011665362,0.004012029,0.03445343
17,KIPAN,1.2727109e-05,6.930935e-05,0.0051928875,0.0020851565,2.8062279e-05,0.0004896816,0.00039392733,8.68175e-05,0.37698302,0.5127786,0.022512173,0.0007210093,7.085623e-05,7.506777e-05,1.9869773e-05,0.00016928346,5.6030003e-05,0.03710124,0.006542364,0.0013852656,0.00040031996,4.886629e-05,0.0005318268,0.013264687,0.018457823,0.00052308606,1.1500654e-05,8.5885076e-05,0.007302637,0.0026005423,3.8390386e-05,0.00046324453,0.00057271554,0.00012565068,0.32084626,0.5410006,0.026118442,0.0012680357,8.929421e-05,0.000106817955,3.396489e-05,0.00021039239,0.00010451662,0.04600949,0.008228459,0.0016670865,0.00062849553,8.2716266e-05,0.00076304935,0.0184899,0.022490378,0.0006615623
18,BRCA,8.094919e-05,0.0003410066,0.14421836,0.013336617,0.0005060391,0.0013180729,0.006145609,0.001121146,0.0063859117,0.006113449,0.30085373,0.009431438,0.00073167286,0.000528491,8.640679e-05,0.0046076505,0.004103593,0.15993233,0.16591994,0.016247196,0.0015568713,0.00028570354,0.00090059737,0.07386522,0.08027255,0.0011094423,5.351774e-05,0.00045782354,0.14482568,0.012919861,0.00056833733,0.0009929654,0.006935366,0.0011663033,0.0058182636,0.0060605016,0.29888642,0.011429129,0.00069969456,0.0005204444,8.562638e-05,0.004327276,0.004314374,0.16361791,0.15799667,0.015513598,0.0024687825,0.00033457906,0.0010104114,0.080305606,0.077629164,0.0010617306
19,PRAD,0.0024676593,0.0032095744,0.17166178,0.03384893,0.009277867,0.005339201,0.012248529,0.012175071,0.051899012,0.009625765,0.004126399,0.011588854,0.018992329,0.018021494,0.0029011928,0.044908587,0.033945985,0.052130453,0.040058054,0.025875088,0.024754757,0.008705648,0.013940155,0.36496595,0.015953036,0.007378649,0.0012307311,0.0040246914,0.15569493,0.04136612,0.005968015,0.004897186,0.008362567,0.017350083,0.046761855,0.005160499,0.0027409291,0.0100005865,0.017999286,0.033701967,0.0015914752,0.06409646,0.032154996,0.09373514,0.040329773,0.036370054,0.013726515,0.0065539777,0.0062191696,0.33292782,0.010817336,0.00621776
20,GBMLGG,0.00012634866,0.000504193,0.24731384,0.02274313,0.0040755994,0.0032316234,0.010394898,0.0035212142,0.0061776075,0.007906464,0.2197709,0.059360623,0.001360834,0.0019015904,0.0014128131,0.018778114,0.0050730505,0.056140535,0.04585404,0.064320676,0.0030629232,0.0015517232,0.00050184136,0.11329326,0.09323506,0.008387113,6.721185e-05,0.00031928698,0.23382768,0.024755761,0.0022449782,0.0018625897,0.007843911,0.0034120958,0.004691697,0.0063291183,0.28878188,0.03865304,0.00203889,0.0031356525,0.0013590961,0.024706775,0.007883105,0.06173564,0.020017872,0.102450356,0.0034591008,0.001987735,0.0005224186,0.07992105,0.069562934,0.008430089
21,UCEC,0.00065195747,0.0040189745,0.358735,0.0049159233,0.052414726,0.0013128812,0.027154861,0.03746589,0.0045221145,0.0059962464,0.0014844349,0.012728272,0.0016465081,0.0017900186,0.00367361,0.1203341,0.028783869,0.0009377743,0.012503337,0.011661553,0.0006426519,0.029143253,0.00023315767,0.0020402758,0.0006458502,0.2745627,0.0014711918,0.0049816617,0.29180732,0.008848748,0.06244133,0.0015976579,0.01683832,0.055551585,0.0022362724,0.0055443994,0.0011265449,0.019368935,0.0013969529,0.002958309,0.003504225,0.13274436,0.019885624,0.00062297826,0.008866149,0.014206155,0.0005285917,0.0628011,0.0003374106,0.0015064997,0.00027465005,0.278553
22,GBMLGG,0.00091454096,0.0046490305,0.036187325,0.091497146,0.005805883,0.0019253246,0.45480797,0.012064435,0.04611071,0.015894065,0.002035905,0.094434164,0.007228279,0.013282353,0.0034161885,0.010393037,0.0136968605,0.0076095816,0.006415148,0.019760888,0.0053935014,0.011504729,0.0018240538,0.0031331782,0.0006964784,0.1293193,0.0012306283,0.0036319173,0.028125966,0.093207486,0.00477709,0.00027454738,0.47468075,0.010171148,0.045519363,0.011308714,0.0016343431,0.10443858,0.005300909,0.009698777,0.0041828165,0.010807575,0.01818198,0.005029285,0.0035804063,0.009172041,0.002830658,0.010242284,0.0010733856,0.001792741,6.288648e-05,0.13904367
23,LAML,0.0005927433,0.003598194,0.1819492,0.06291168,0.03608885,0.036654793,0.005987321,0.0037736364,0.053552806,0.10789648,0.30581337,0.014395616,0.014118307,0.00520936,0.0006800833,0.006671252,0.016785098,0.04124669,0.021556599,0.010884386,0.0028638556,0.005127957,0.028747337,0.015319747,0.012246137,0.005328519,0.00016276084,0.00063023285,0.15879096,0.016325017,0.008001148,0.0037456665,0.002061717,0.0012436362,0.02944679,0.028028406,0.64880884,0.027495472,0.021035032,0.0016421148,8.8049404e-05,0.00064335315,0.010956754,0.0044839997,0.006173078,0.0037104539,0.00045113792,0.001138466,0.015907692,0.0067219893,0.0010534102,0.0012538169
24,COAD,1.3730774e-05,0.0001131353,0.00011087557,0.00037376783,0.8064943,3.12618e-05,3.598947e-07,0.0010866235,8.774424e-06,6.243997e-09,1.414389e-10,1.9312365e-09,4.7902454e-06,2.7674896e-05,0.00044410818,6.8326766e-09,7.414453e-09,6.3726185e-10,2.382225e-07,2.547544e-07,0.00013256229,0.009504609,3.7032668e-09,3.5844522e-08,1.6804881e-07,0.18165262,2.7607697e-07,4.5107818e-06,2.7569538e-05,4.5847293e-05,0.9925702,7.388365e-07,1.5695849e-07,0.00020355971,3.9937277e-06,6.239234e-09,1.414389e-10,1.931116e-09,3.5023297e-07,1.0765675e-05,7.395725e-05,6.827672e-09,5.6818648e-09,6.3726185e-10,2.3822243e-07,2.456873e-07,0.0017656652,0.0017518556,3.7013463e-09,3.5844522e-08,1.1785741e-07,0.0035399147
25,STES,0.00027543888,0.0045013535,0.006095788,0.0018483863,0.17467819,0.011476119,0.011046782,0.0040736925,0.007967428,0.0040689595,1.9975348e-09,0.00012263207,0.07223956,0.03775199,0.038012795,0.0077598924,0.0014549785,9.0049473e-10,0.00027814234,0.003922716,0.006426829,0.549083,0.0010538467,3.7045595e-07,1.2950975e-05,0.055848118,0.0001745235,0.0034880748,0.006812353,0.00087146176,0.1728438,0.0033366971,0.0057297335,0.0033071407,0.002854469,0.0035092207,2.006605e-09,3.1114585e-05,0.043440495,0.042969,0.051190246,0.0013200908,0.0007703065,8.408761e-10,0.00012317895,0.0023389172,0.0029916537,0.6082888,0.0003823527,3.7048082e-08,2.4211577e-06,0.043223843
26,BRCA,0.0026040843,0.000568474,0.59796447,0.03783051,0.024688419,0.0009990153,0.022400452,0.013516717,0.008809458,0.007620206,0.005717946,0.016464535,0.0021059616,0.023853108,0.0009618019,0.011797428,0.0030830172,0.078802526,0.006422353,0.017746562,0.0086445585,0.010573634,0.0010606801,0.009837984,0.0030288114,0.08289728,0.011052999,0.0002783889,0.52636564,0.0903505,0.0689151,0.00022133678,0.020842817,0.022946924,0.006035905,0.0012046403,0.0045070695,0.009207789,0.0013710628,0.045941398,0.00046944502,0.014606651,0.0028398782,0.05048856,0.0021360826,0.0020422149,0.009494423,0.010072868,0.0003225871,0.008766319,0.00054374087,0.08897572
27,THCA,2.163285e-05,6.5878025e-06,0.00042843318,0.00021187111,0.00030842706,9.382154e-06,0.0004321116,4.260262e-05,0.00010230577,0.0001782158,0.005193949,0.0020233616,1.5456908e-05,0.00043178393,3.5204116e-06,4.2649634e-05,6.852913e-05,0.0011661763,0.0024275966,0.0003038903,0.0080544595,1.0423025e-05,4.4668002e-05,0.9765897,0.0015489538,0.0003332033,5.5202923e-05,6.4117266e-06,0.00030525445,7.658355e-05,0.0001870276,2.117361e-06,0.00017264216,3.563328e-05,4.6027493e-05,1.0688026e-05,0.0016706972,0.0019588391,5.037172e-06,0.00062981225,1.3502206e-06,2.696854e-05,2.706407e-05,0.00017403971,0.0011622614,0.00022627317,0.0068887523,3.8869393e-06,1.7104714e-05,0.986051,0.00015710072,0.00010213648
28,BRCA,0.00010095823,0.0017285327,0.041640293,0.023531344,0.0031670318,0.01366461,0.008371605,0.004083015,0.0051784674,0.0063677114,0.08855529,0.003772271,0.002692951,0.0030796467,0.0007362564,0.008834063,0.019695971,0.3764199,0.10551735,0.08976131,0.002015279,0.0017919512,0.009081618,0.054381028,0.124045655,0.0017858801,9.421459e-05,0.0015656891,0.039983213,0.022310669,0.0032108482,0.008720111,0.008891398,0.0043707658,0.0055380315,0.0077400636,0.09046993,0.0043136156,0.0024205688,0.0026040024,0.00077483634,0.0076834233,0.024360007,0.3683608,0.10801514,0.08862244,0.0026276212,0.002087922,0.010120485,0.048667938,0.13491765,0.00152859
29,SKCM,9.077617e-06,0.0001565976,1.5133379e-06,5.3888944e-05,0.00042493816,7.678229e-06,6.744533e-05,0.00012062217,2.0532659e-07,4.590331e-09,2.4121675e-12,9.1269e-09,8.012037e-06,0.00051167543,0.0013641389,1.1960911e-08,2.3608081e-06,2.3628105e-12,5.045426e-10,3.2684616e-07,0.99646133,0.00013893507,1.0406456e-08,2.4325964e-12,5.6941465e-09,0.00067120034,2.9529563e-06,1.9412217e-05,2.4750675e-06,8.610004e-06,0.00044466145,8.079828e-07,6.7778325e-05,4.8873233e-05,1.09800155e-07,2.619476e-09,2.4121675e-12,3.537972e-09,2.4878784e-06,0.000252996,0.0012657817,3.724828e-10,4.925259e-07,2.3628105e-12,2.1323845e-09,2.2404843e-06,0.9974398,0.00011577386,9.0421565e-10,2.4325958e-12,3.8764945e-08,0.0003247574
30,ACC,0.99999344,1.341282e-07,1.9102528e-08,2.5448607e-08,5.3479546e-08,9.9476685e-09,5.69938e-07,1.0792202e-08,1.943281e-06,2.1425194e-08,1.694054e-11,6.328588e-08,1.8841309e-06,1.6676337e-08,2.7873381e-09,1.2565451e-09,9.801237e-08,6.0790345e-10,6.700298e-10,5.693046e-10,4.827584e-07,7.134337e-08,1.233515e-07,2.8932876e-10,4.802635e-09,1.0441007e-06,0.99999774,4.8068456e-09,4.473837e-09,9.595058e-10,2.2878718e-08,1.0364607e-10,6.585424e-08,6.521952e-10,5.018784e-08,9.2372765e-10,5.5079023e-12,1.2095698e-08,1.8234597e-06,1.0545154e-09,9.7551606e-11,3.0537985e-12,1.9974282e-08,2.6156661e-12,3.6651907e-10,2.165312e-10,2.8472812e-07,1.6435104e-08,1.478735e-10,4.0791658e-11,7.7209705e-09,1.892136e-08
31,GBMLGG,0.00024362303,0.00020604387,0.0004908566,0.00017920323,0.013032518,5.6550634e-05,0.36310515,0.0013457646,0.00021450908,0.00029799307,0.0028779176,0.5635895,0.00077515916,0.00025687,0.0002298489,0.008945258,0.015395593,0.00027656773,0.00087862456,0.0013085457,0.0008207596,0.0036763137,2.568789e-05,0.00062218163,0.00033517941,0.020813866,0.0009860024,3.5619243e-05,0.0001631225,5.9498034e-05,0.010045958,3.6075128e-06,0.3636838,0.0005026471,9.7280375e-05,2.9620967e-05,0.0016745217,0.60902786,9.331073e-05,9.313143e-05,0.00012451826,0.0012173756,0.0011412092,9.7721e-06,0.00078900246,5.5377703e-05,0.0009390172,0.0018208352,1.7688654e-06,0.0017488963,0.00016706968,0.005489262
32,HNSC,0.0005584404,0.014736702,0.1828569,0.026124295,0.01800964,0.00045003658,0.001058199,0.55230194,0.0026802076,0.0017045889,1.5506051e-06,0.0002072338,0.003839474,0.025023846,0.046532948,0.04849764,0.009946436,1.2347964e-07,0.0003664586,0.0072924537,0.00268436,0.052398767,0.00031294508,6.877737e-06,7.3139036e-06,0.0024006027,0.00022742581,0.009681997,0.1754399,0.03529636,0.012359092,0.00015396895,0.0005510612,0.6055563,0.0015902284,0.00083148404,1.5488391e-06,0.00020157713,0.0022959362,0.011080093,0.03836582,0.035481308,0.009036197,1.1943976e-07,6.812373e-05,0.0022766478,0.0011069105,0.055663962,4.0450355e-05,5.570237e-06,3.1341037e-06,0.0026847613
33,KIRC,0.0015537876,5.14305e-05,0.0002715111,0.00034112437,0.00031563162,0.00024108186,0.00086114154,5.396722e-05,0.071102075,0.9171225,5.1110157e-05,0.0005802478,5.6374338e-05,5.477834e-05,7.6551245e-05,0.0005959302,0.00087762286,0.0001791368,0.001831822,0.00010095963,0.00153032,0.00025896446,0.00074825063,0.000114802184,1.46078255e-05,0.0010143021,0.00036955744,3.98861e-06,0.00035293604,0.00011843238,0.00012697377,0.0001328022,0.0005981021,1.0194345e-05,0.06336492,0.92803335,1.9599212e-05,0.00016261752,1.21615185e-05,1.0055931e-05,2.5124315e-05,5.6002427e-05,0.00010819447,5.6267245e-06,0.0018761756,0.00018309907,0.0036645415,9.824108e-05,0.0002606155,5.9008136e-05,8.689836e-05,0.00026067952
34,KIRC,0.00091588526,5.7088806e-07,3.966788e-07,3.0320869e-06,8.220834e-06,1.5929282e-07,2.9218407e-05,1.70414e-06,0.03765512,0.96119857,1.2654026e-08,1.3414623e-05,1.5150327e-07,1.8487736e-06,4.1288564e-07,3.0778602e-07,5.025824e-05,8.23391e-09,2.146621e-08,1.9062111e-07,3.0121757e-05,8.7324215e-06,2.9317198e-05,2.9125873e-08,8.485817e-09,5.226429e-05,0.00013869886,6.677512e-08,2.8388288e-07,2.0037326e-07,1.6886241e-06,1.693489e-08,2.839596e-06,9.74155e-07,0.03614294,0.96365994,1.1545951e-08,2.9963512e-06,6.9204473e-09,1.7368228e-07,8.755951e-08,1.5035711e-07,1.887983e-05,1.7045255e-09,3.3389878e-08,1.2254452e-06,2.1185086e-05,9.949974e-07,1.147871e-06,5.060116e-09,8.382751e-09,5.460555e-06
