true_class,h0__ACC,h0__BLCA,h0__BRCA,h0__CESC,h0__COAD,h0__DLBC,h0__GBMLGG,h0__HNSC,h0__KIPAN,h0__KIRC,h0__LAML,h0__LGG,h0__LIHC,h0__LUAD,h0__LUSC,h0__OV,h0__PAAD,h0__PCPG,h0__PRAD,h0__SARC,h0__SKCM,h0__STES,h0__TGCT,h0__THCA,h0__THYM,h0__UCEC,h2_s__ACC,h2_s__BLCA,h2_s__BRCA,h2_s__CESC,h2_s__COAD,h2_s__DLBC,h2_s__GBMLGG,h2_s__HNSC,h2_s__KIPAN,h2_s__KIRC,h2_s__LAML,h2_s__LGG,h2_s__LIHC,h2_s__LUAD,h2_s__LUSC,h2_s__OV,h2_s__PAAD,h2_s__PCPG,h2_s__PRAD,h2_s__SARC,h2_s__SKCM,h2_s__STES,h2_s__TGCT,h2_s__THCA,h2_s__THYM,h2_s__UCEC
STES,0.020100327,0.0065337587,0.08442565,0.06596043,0.0017471391,0.013305953,0.012914261,0.007709698,0.067237,0.07655118,0.005887173,0.004661712,0.058542322,0.0056399293,0.002130688,0.017264718,0.011389969,0.083424,0.09294866,0.022031037,0.0015174778,0.00657385,0.09017417,0.030858126,0.07504137,0.13542941,0.017488768,0.0040643993,0.081725925,0.061684284,0.00088488136,0.011224055,0.009197069,0.005850017,0.057092015,0.071129285,0.0038336199,0.0028446652,0.07062288,0.003171892,0.001141561,0.012643335,0.0072985664,0.08837088,0.08943602,0.019220993,0.00072180224,0.004008158,0.10125338,0.026852654,0.075106114,0.17313282
HNSC,0.00018530671,0.006924857,0.03381347,0.070627235,0.02438158,0.0145315165,0.0030724832,0.08393357,0.0103022,0.010104911,9.410255e-07,0.0003177068,0.06703856,0.14525771,0.3495259,0.018329745,0.024736889,6.421024e-07,0.0037187876,0.026983751,0.012201356,0.081291355,0.005676403,7.8114426e-05,0.00039666772,0.006568358,7.200888e-05,0.0043345112,0.02214799,0.05929802,0.017610442,0.0113043105,0.0014117855,0.068704136,0.005502872,0.0060368134,1.6312767e-07,0.00011208047,0.05129634,0.14306,0.4792725,0.012038593,0.016191466,1.0409331e-07,0.0018233178,0.019069254,0.0073741665,0.06605207,0.0032473248,2.3006467e-05,0.00015588326,0.003860737
KIRC,0.001098932,0.022984045,0.18874675,0.07733075,0.0032643855,0.0046694097,0.009367723,0.0137462085,0.25947466,0.07295896,0.00052357814,0.0017740391,0.06227402,0.07713765,0.0011703948,0.012172091,0.010019872,0.0032715641,0.008876079,0.026284622,0.0062179584,0.014694437,0.084892996,0.00043608822,0.033176124,0.003436647,0.00060143275,0.0190106,0.20285161,0.075163186,0.0018860734,0.0031497378,0.0060908804,0.00987012,0.30906576,0.0640592,0.00024104881,0.0009484324,0.056408122,0.075583585,0.0005814234,0.008378696,0.006986533,0.0019520058,0.0061259,0.02163588,0.003850491,0.010920935,0.083009794,0.000193339,0.02950263,0.0019325393
PAAD,0.00015510397,0.0021218809,0.12403335,0.0037458928,0.04748783,0.00091876485,0.033589073,0.056627657,0.0028932053,0.0067445277,0.0005881942,0.0012438608,0.060125113,0.030704558,0.035327267,0.22536778,0.18376234,0.0007182518,0.01677359,0.05821332,0.0055822167,0.08415836,0.002092665,0.0030097924,0.0047737793,0.009241625,6.117997e-05,0.0011441451,0.12109458,0.0022118154,0.03887414,0.000518462,0.02655611,0.053197585,0.0014913788,0.0041881953,0.00026029485,0.0006057444,0.05634765,0.023805209,0.031315867,0.28970605,0.18817776,0.00036019864,0.012354907,0.053979993,0.0037136243,0.07783363,0.0011668605,0.0018016159,0.002991894,0.006241113
SKCM,5.5434402e-06,0.00027027752,3.582649e-06,0.00021305832,0.0014152062,5.8228332e-05,6.4475456e-09,0.0010765992,2.3884107e-07,1.00241516e-10,6.048992e-11,9.163575e-11,4.7085756e-05,0.0025306304,0.041142356,2.2648654e-10,2.6098002e-10,9.133617e-12,2.1325443e-10,6.0890756e-08,0.95218796,0.00095661427,1.2561607e-10,2.6408964e-11,1.2003948e-09,9.254892e-05,1.0125916e-06,7.455411e-05,4.1713037e-07,5.3453547e-05,0.00041091003,1.4931825e-05,4.330676e-10,0.0002895876,2.3784775e-08,4.5392843e-12,3.0735956e-12,4.2224358e-12,9.112368e-06,0.0008017868,0.018632349,1.1508351e-11,1.3764947e-11,4.1695887e-13,1.1126843e-11,5.8431358e-09,0.97945803,0.00023388243,6.8238583e-12,1.1141512e-12,9.1740365e-11,1.9918927e-05
OV,0.006124157,0.0025838898,0.12897818,0.023190085,0.001591886,0.021400362,0.04620383,0.023570672,0.17725998,0.077071406,0.012420727,0.014896817,0.012043238,0.03451494,0.0014537165,0.024025036,0.033412803,0.06288019,0.1430795,0.05352753,0.0044362177,0.011517299,0.031747103,0.01675531,0.03331018,0.0020049359,0.0041831397,0.0016166392,0.13441618,0.019766398,0.00080588425,0.019252544,0.05285214,0.01893046,0.20601484,0.07476895,0.008845848,0.010718739,0.00847319,0.031474695,0.0007477317,0.019734556,0.030443158,0.06480182,0.16218506,0.046678662,0.0027433818,0.007623609,0.028267693,0.01305466,0.030494707,0.0011053198
KIPAN,0.00039333216,0.0068910946,0.099405944,0.03185233,0.06785128,0.010302437,0.05445809,0.021128476,0.03705969,0.011175194,0.00032877957,0.011230886,0.077567585,0.024386749,0.029795641,0.2026996,0.029149959,4.4768873e-05,0.03383258,0.064794935,0.002929672,0.16776443,0.0014625373,0.0003252413,0.00096523855,0.012203532,0.00019966066,0.004632083,0.092268795,0.027618784,0.07248374,0.009006126,0.048193906,0.016658442,0.032005116,0.008448474,0.00014504277,0.008226873,0.08100861,0.019476937,0.029157517,0.22695084,0.024240093,1.5794947e-05,0.029680703,0.06682993,0.0018467566,0.18974946,0.0007790652,0.00014761263,0.0005105189,0.009719128
KIPAN,5.6723515e-05,1.05528425e-05,0.00020212779,5.258708e-07,4.2137463e-06,0.0003194899,0.00013387718,7.280231e-06,0.38444516,0.6026098,0.002417522,0.0006308333,3.9008697e-07,2.4010578e-06,1.3670807e-07,3.3129544e-07,9.5922915e-06,0.008459007,0.0002808717,9.0939524e-05,1.3260372e-05,2.4985934e-07,1.7982322e-06,0.00013000671,0.00016330228,9.608352e-06,1.3610279e-05,2.0235857e-06,5.8817972e-05,6.5757476e-08,6.978062e-07,0.000100486206,3.6505204e-05,1.300357e-06,0.33703005,0.6572541,0.0009922221,0.0002173118,4.663081e-08,3.6803306e-07,1.400971e-08,3.8473814e-08,1.7883627e-06,0.0040952023,8.611146e-05,2.3299404e-05,2.6338848e-06,2.7773241e-08,2.6391712e-07,3.506736e-05,4.611756e-05,1.8054271e-06
BRCA,0.00012229738,0.00016716003,0.054660697,0.006783324,0.00039398603,0.0006738045,0.007989357,0.000425737,0.008593465,0.0039063953,0.42275745,0.020272702,0.00077187794,0.00038767612,6.5258675e-05,0.002973922,0.002912015,0.08360663,0.094745986,0.01316497,0.0017689859,0.0001560017,0.0008169546,0.13189046,0.1392416,0.0007512738,3.8500704e-05,5.564723e-05,0.042711444,0.003879814,0.00015033151,0.00027421236,0.0043962165,0.0001624969,0.0051820567,0.0020853677,0.50950384,0.013836786,0.00032301887,0.00014344582,1.8651952e-05,0.0015231856,0.0014735468,0.070224516,0.081878476,0.008444189,0.0009075601,5.0942046e-05,0.00035012944,0.12133792,0.13073541,0.00031232316
PRAD,0.005383277,0.0042653223,0.22250082,0.05116331,0.014665137,0.007933943,0.005168342,0.014359744,0.07450754,0.009917312,0.004600702,0.009426581,0.035801914,0.00914693,0.001636662,0.0732536,0.012477705,0.048288055,0.08377733,0.028143732,0.010150374,0.010055199,0.08662953,0.11107326,0.040903077,0.024770599,0.0038168628,0.0027888145,0.24084651,0.055274665,0.011126045,0.0063036224,0.0029968473,0.012051241,0.072086394,0.0068837814,0.0027308133,0.006418437,0.03089453,0.0061172275,0.0007651743,0.07560128,0.009565509,0.045268588,0.08763,0.023390496,0.0073154126,0.006553608,0.09388672,0.1286272,0.0403877,0.020672606
GBMLGG,0.00011200935,5.200129e-05,0.084055066,0.014927863,0.0003880663,0.0034102653,0.003664669,0.0008183725,0.003016729,0.0031973307,0.2530632,0.006115717,0.0009198561,0.0003600443,0.00029430995,0.014263375,0.0013131622,0.01727069,0.06954245,0.046704553,0.00026109893,0.00047853627,0.0010925719,0.039850526,0.43310392,0.0017236168,2.8185532e-05,1.27947005e-05,0.057345908,0.0075532203,0.0001293537,0.0015963381,0.001618732,0.00028633527,0.001269187,0.0013799504,0.24415281,0.002967326,0.0003150992,0.00010565559,9.7021155e-05,0.007539949,0.0004820611,0.011929511,0.047469586,0.02963025,8.444237e-05,0.00016978756,0.00043214005,0.027176155,0.5555576,0.00067051395
UCEC,5.5514214e-05,0.0028326814,0.3063093,0.0038827583,0.05830284,0.0022961597,0.015231031,0.015376301,0.0041990792,0.0030119033,0.00047988427,0.0067286314,0.0036342137,0.0018798776,0.0049841674,0.18126416,0.02974658,0.0011024582,0.01570099,0.0102424715,0.00015996616,0.027616767,0.0002742604,0.002480294,0.000629414,0.30157828,1.8734956e-05,0.0013275259,0.32548186,0.0021519389,0.043684546,0.0012798766,0.009373243,0.009407681,0.0021644405,0.0013775574,0.00018365942,0.0043775113,0.0019228327,0.00086289603,0.0027118511,0.19226858,0.02328609,0.0005144709,0.010531793,0.0061329873,5.2993077e-05,0.018307135,9.704827e-05,0.0011911372,0.0002480714,0.3410435
GBMLGG,0.0005671983,0.009425988,0.062143896,0.13254261,0.0022436355,0.005862778,0.3227754,0.015896656,0.058099687,0.04551542,0.0008891263,0.089826375,0.017611787,0.022386089,0.015558462,0.017127968,0.03964664,0.008117427,0.014686175,0.044752147,0.005865226,0.009261972,0.0019378151,0.011405612,0.002267324,0.04358658,0.00026627883,0.005884951,0.048283327,0.13295297,0.000964818,0.0036729958,0.44986522,0.0104217045,0.044004824,0.033900596,0.0004018356,0.08462736,0.012500453,0.017447295,0.009979545,0.010367746,0.02961123,0.004882184,0.009818813,0.035281043,0.0032997513,0.0048643653,0.00092273654,0.0072141825,0.0011805008,0.03738322
LAML,0.0011296866,0.001151453,0.29716286,0.075770915,0.016888265,0.0050815707,0.0018944604,0.0026511794,0.026353905,0.02003906,0.07280981,0.0011437181,0.0062268875,0.0037360692,0.00091533246,0.038733978,0.006229823,0.12808803,0.049731232,0.072832815,0.0023844074,0.0051767086,0.008602374,0.056455966,0.09210884,0.0067006713,0.0006575187,0.0006106569,0.32140937,0.07223184,0.012226553,0.0039020444,0.0010073284,0.0014098749,0.01883239,0.013794019,0.085139655,0.000596694,0.003901516,0.002295581,0.00040034915,0.030928215,0.0038475546,0.14843607,0.044107992,0.06972389,0.0013080025,0.0030811818,0.0052014287,0.050359268,0.10020995,0.0043810173
COAD,0.00011919221,0.0059293895,0.0005656518,0.003942543,0.5767569,0.00044050755,6.5872484e-08,0.0074374187,2.368536e-05,1.2639115e-08,1.572117e-09,1.3552368e-09,7.078516e-05,0.0018337063,0.012380136,1.1905301e-08,6.1135457e-09,3.397539e-10,1.11508186e-07,1.827686e-08,0.001887372,0.019226424,1.5536284e-07,6.5175506e-08,6.4470065e-08,0.36938575,5.130219e-05,0.0031708197,0.00020248174,0.0018713833,0.6393595,0.00020253427,8.416651e-09,0.00338532,5.2824266e-06,1.3186929e-09,1.7240735e-10,1.189026e-10,2.0982176e-05,0.00083426957,0.0068132575,1.2676353e-09,6.080325e-10,2.883305e-11,2.116846e-08,2.2308373e-09,0.0009829358,0.0113051245,2.9092954e-08,1.3768066e-08,1.02488436e-08,0.33179477
STES,0.00030634753,0.00544008,0.0060742702,0.000782423,0.06881165,0.0030321234,0.009837706,0.021389948,0.010307688,0.0005393099,1.3152592e-08,0.00025887848,0.11708821,0.086001314,0.07919328,0.039480224,0.0057272096,2.4721951e-09,0.0020761683,0.013779249,0.018966565,0.46160927,0.0004151982,1.7908866e-07,3.6452495e-06,0.048879027,0.00012523995,0.0031665575,0.003565079,0.00034679662,0.056867104,0.0020197846,0.0059187775,0.015543147,0.0064785937,0.00021248052,1.36853e-09,0.00010035069,0.12119723,0.0737202,0.06681385,0.030213853,0.0034413638,2.0433386e-10,0.0010360121,0.009270892,0.014046744,0.5460528,0.00017181484,3.5537088e-08,8.5823194e-07,0.039690483
BRCA,0.035027783,0.0016365353,0.42054164,0.028477903,0.015136628,0.006361211,0.03261758,0.0113004455,0.020339537,0.0148453,0.0063825203,0.08754399,0.00542773,0.015378768,0.0006384361,0.010424239,0.007179588,0.17808197,0.007618313,0.018909585,0.0045921984,0.005380867,0.0021612009,0.037954234,0.00162792,0.024413878,0.028946431,0.00065804657,0.55375016,0.018835008,0.007607069,0.0033700773,0.019434957,0.006337888,0.011488095,0.007214127,0.0034659808,0.07291893,0.002221473,0.0089279385,0.00021587538,0.0057970183,0.0036650426,0.17720489,0.003975427,0.010758504,0.0023191446,0.002330736,0.0009321037,0.026869042,0.00070446095,0.02005153
THCA,9.644586e-05,2.13768e-06,0.00016713019,0.00014061657,3.1220337e-05,2.3655657e-05,0.00018694968,1.5787977e-05,0.00026617374,8.798429e-05,0.008269019,0.0002679182,1.7160768e-05,0.00020403805,2.4219758e-06,3.981591e-05,0.00010399979,0.0042814785,0.0021153674,0.0005620322,0.0113635715,3.5363691e-06,5.9177448e-05,0.9706983,0.0009325969,6.146727e-05,1.387893e-05,2.1926435e-07,2.7064072e-05,2.2697703e-05,3.3534234e-06,2.2695137e-06,3.070308e-05,1.7379289e-06,4.8770973e-05,1.3087143e-05,0.002474135,4.670877e-05,2.1331416e-06,3.1505366e-05,1.9864311e-07,5.589628e-06,1.5454107e-05,0.0011761081,0.00047545676,0.00010975269,0.0036659532,3.1339292e-07,7.958841e-06,0.99160475,0.00021146651,8.738668e-06
BRCA,0.0002936981,0.0023701186,0.1509963,0.013482471,0.0045103873,0.006659044,0.009130676,0.002175843,0.0022932414,0.0027547346,0.090504184,0.003083055,0.0011727789,0.0017289579,0.0005430275,0.0065503204,0.010650072,0.11850167,0.100380406,0.038896043,0.0026770872,0.0010197308,0.0032742303,0.1549627,0.27079394,0.0005952811,0.00011597005,0.0011502807,0.13144971,0.010948889,0.0023934832,0.0050186957,0.0059750746,0.0010166412,0.0011767774,0.0015537404,0.08804667,0.0016406082,0.000532512,0.000860277,0.0002005335,0.003947314,0.007319502,0.12241954,0.100105196,0.03010234,0.0014236089,0.0004356247,0.0020068674,0.14369375,0.3361802,0.00028604787
SKCM,5.039876e-06,0.00075228896,1.2891233e-05,0.00016499282,0.0016018222,0.0001930361,6.701616e-05,0.0010886975,3.8400657e-07,1.3606233e-09,1.0216996e-11,1.6615614e-10,0.00027956613,0.026195554,0.02270603,5.973441e-07,2.1218493e-05,1.3624163e-11,6.6016376e-08,4.4963253e-06,0.9451175,0.0014463888,1.5326555e-06,1.4259898e-11,3.422952e-08,0.00034087469,9.0747784e-07,0.0002520111,1.933766e-06,4.2131913e-05,0.00051492377,6.1581246e-05,1.7904047e-05,0.00031402256,4.472329e-08,8.430926e-11,4.2834662e-13,1.3588812e-11,7.567669e-05,0.011876488,0.0096029155,7.547232e-08,4.0245877e-06,5.6737834e-13,6.3168155e-09,7.3704217e-07,0.9766842,0.00046088078,2.4758222e-07,5.694067e-13,3.530298e-09,8.923205e-05
ACC,0.99995,5.8435694e-07,5.943094e-07,1.5266923e-07,9.092265e-06,7.3439094e-07,1.8564864e-06,2.6323748e-06,2.7161835e-07,1.2862384e-08,2.4335411e-10,1.8274673e-06,1.2312582e-06,4.5982034e-07,3.9075795e-07,2.7559748e-08,2.496869e-06,1.1294342e-08,6.8218777e-09,9.24853e-08,1.0266615e-05,2.6056582e-06,1.2055432e-06,1.853721e-08,8.352951e-09,1.3431129e-05,0.9999943,5.1833634e-08,4.0302837e-08,9.370614e-09,9.888577e-07,6.7363494e-08,1.665848e-07,2.5287645e-07,1.6655676e-08,5.352937e-10,6.5905254e-12,1.623687e-07,1.1507748e-07,3.2261553e-08,2.7712495e-08,1.3647476e-09,2.4258063e-07,4.998573e-10,2.7713734e-10,5.285452e-09,1.2668022e-06,2.3042982e-07,1.0619395e-07,8.6658675e-10,3.48398e-10,1.9202148e-06
GBMLGG,0.0022863743,0.00096508436,0.0009324737,0.000439328,0.05129904,0.0006244754,0.45022407,0.006524717,0.0006840169,0.0021247207,0.0028289098,0.37583935,0.0033619928,0.0013665233,0.0016478644,0.013828266,0.038556512,0.0021170843,0.0020269519,0.0035468221,0.0024390477,0.007039513,0.00012183307,0.007423508,0.00085988647,0.020891631,0.00085998373,0.0002822226,0.0002719202,0.00011336423,0.02683147,0.00018755077,0.4784279,0.0024391327,0.00016945868,0.00070115796,0.0010826027,0.43909234,0.0011936054,0.00040528452,0.00054279686,0.007702455,0.019203477,0.000710692,0.00057966256,0.0012807458,0.00092278933,0.0029992603,2.8488335e-05,0.0032528979,0.00024597824,0.0104728155
HNSC,5.3751086e-05,0.1338977,0.061464813,0.007203323,0.01463038,0.00036717765,0.0006700347,0.49770164,0.00081191387,0.0006158986,9.1047485e-07,7.743976e-05,0.013123665,0.04904492,0.026063725,0.048830602,0.026249299,4.1105022e-07,0.00015607152,0.003367392,0.0049075577,0.10843717,0.00015296473,4.292243e-06,2.2240006e-06,0.0021647166,1.7059641e-05,0.1282982,0.039629646,0.0037535278,0.00900732,0.00016850755,0.0002556006,0.6158096,0.00030121938,0.00024460486,1.6303326e-07,2.2555738e-05,0.008289488,0.03589649,0.018439954,0.03496182,0.01770406,6.7665724e-08,5.1554827e-05,0.0016219531,0.0027889633,0.08167771,5.4915115e-05,9.021193e-07,4.3937575e-07,0.0010036017
KIRC,0.00031714706,0.0015893155,0.02020455,0.036362164,0.0045862896,0.0024405858,0.0045446088,0.0071642874,0.08012699,0.55680156,0.0005134807,0.00044089725,0.020657687,0.0074210037,0.004745943,0.034445897,0.010036412,0.0038181657,0.11658032,0.026943423,0.0054782997,0.012248727,0.0070849606,0.009263734,0.004278192,0.021905383,0.000107478896,0.0007269162,0.010758371,0.026566045,0.002181043,0.0012131833,0.0020702998,0.0036691956,0.052664015,0.6939317,0.00018626453,0.00015138666,0.0141824,0.0040957355,0.0022353237,0.024048593,0.005855613,0.0017606848,0.10104073,0.017872717,0.0026876312,0.0069475938,0.0037554486,0.005130183,0.0021694477,0.013991981
KIRC,4.2030028e-05,4.48509e-05,0.00054139714,0.0031698963,0.00016345068,0.0004796371,0.000770322,0.00050843676,0.08543709,0.9019208,1.12410014e-07,4.6633177e-05,0.00043068064,0.0012797653,0.00023470465,0.000115201125,0.0009447062,1.1480929e-06,0.00017889692,0.000567801,0.0012293154,0.0004313238,0.001345766,1.8440896e-05,1.4755714e-06,9.615266e-05,7.045476e-06,7.965789e-06,0.00011097877,0.0009242276,3.0081703e-05,0.00011880843,0.00018394321,0.00011206722,0.03905367,0.9576659,8.293626e-09,7.1249983e-06,9.400609e-05,0.00035724425,4.6470795e-05,1.9557949e-05,0.00023424739,1.11228346e-07,3.4333683e-05,0.000121622994,0.0003674497,9.5544405e-05,0.00038566062,2.4593508e-06,1.6513874e-07,1.9249994e-05
