row_index,matched_profile,profile_support,profile_purity,h0_prediction,retrieval_prediction,blend_prediction,true_class,h0_correct,retrieval_recovers_h0_error,retrieval_breaks_h0_correct
142,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
143,False,0,0.0,KIPAN,BRCA,KIPAN,KIRC,False,False,False
144,False,0,0.0,OV,BRCA,OV,BRCA,False,False,False
145,False,0,0.0,STES,BRCA,STES,STES,True,False,False
146,False,0,0.0,STES,BRCA,STES,LUAD,False,False,False
147,False,0,0.0,STES,BRCA,STES,STES,True,False,False
148,False,0,0.0,LGG,BRCA,LGG,LGG,True,False,False
149,False,0,0.0,KIRC,BRCA,KIRC,KIRC,True,False,False
150,False,0,0.0,BLCA,BRCA,BLCA,BLCA,True,False,False
151,True,1,1.0,GBMLGG,LGG,GBMLGG,GBMLGG,True,False,True
152,False,0,0.0,LIHC,BRCA,LIHC,LIHC,True,False,False
153,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
154,False,0,0.0,BRCA,BRCA,BRCA,SARC,False,False,False
155,False,0,0.0,PRAD,BRCA,PRAD,BRCA,False,False,False
156,False,0,0.0,KIPAN,BRCA,KIPAN,KIPAN,True,False,False
157,True,1,1.0,GBMLGG,LGG,GBMLGG,GBMLGG,True,False,True
158,False,0,0.0,LUSC,BRCA,LUSC,OV,False,False,False
159,False,0,0.0,OV,BRCA,OV,BRCA,False,False,False
160,True,1,1.0,LGG,GBMLGG,LGG,LGG,True,False,True
161,False,0,0.0,KIPAN,BRCA,KIPAN,KIPAN,True,False,False
162,False,0,0.0,GBMLGG,BRCA,GBMLGG,GBMLGG,True,False,False
163,False,0,0.0,PRAD,BRCA,PRAD,PRAD,True,False,False
164,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
165,False,0,0.0,BRCA,BRCA,BRCA,SARC,False,False,False
166,False,0,0.0,THCA,BRCA,THCA,THCA,True,False,False
167,False,0,0.0,CESC,BRCA,CESC,BRCA,False,False,False
168,False,0,0.0,PRAD,BRCA,PRAD,PRAD,True,False,False
169,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
170,False,0,0.0,PCPG,BRCA,PCPG,THYM,False,False,False
171,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
172,False,0,0.0,KIPAN,BRCA,KIPAN,BRCA,False,False,False
173,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
174,False,0,0.0,KIPAN,BRCA,KIPAN,CESC,False,False,False
175,False,0,0.0,STES,BRCA,STES,PAAD,False,False,False
176,False,0,0.0,PRAD,BRCA,PRAD,THCA,False,False,False
177,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
178,False,0,0.0,HNSC,BRCA,HNSC,CESC,False,False,False
179,True,1,1.0,GBMLGG,LGG,GBMLGG,GBMLGG,True,False,True
180,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
181,False,0,0.0,PRAD,BRCA,PRAD,KIPAN,False,False,False
182,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
183,False,0,0.0,ACC,BRCA,ACC,ACC,True,False,False
184,False,0,0.0,PAAD,BRCA,PAAD,PAAD,True,False,False
185,False,0,0.0,TGCT,BRCA,TGCT,OV,False,False,False
186,False,0,0.0,ACC,BRCA,ACC,KIPAN,False,False,False
187,False,0,0.0,KIRC,BRCA,KIRC,CESC,False,False,False
188,False,0,0.0,STES,BRCA,STES,LUAD,False,False,False
189,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
190,False,0,0.0,OV,BRCA,OV,BRCA,False,False,False
191,False,0,0.0,LUAD,BRCA,LUAD,LUSC,False,False,False
192,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
193,False,0,0.0,KIRC,BRCA,KIRC,KIPAN,False,False,False
194,False,0,0.0,UCEC,BRCA,UCEC,UCEC,True,False,False
195,False,0,0.0,BRCA,BRCA,BRCA,OV,False,False,False
196,False,0,0.0,LAML,BRCA,LAML,LAML,True,False,False
197,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
198,False,0,0.0,KIPAN,BRCA,KIPAN,LIHC,False,False,False
199,False,0,0.0,THCA,BRCA,THCA,THCA,True,False,False
200,False,0,0.0,PRAD,BRCA,PRAD,PRAD,True,False,False
201,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
202,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
203,False,0,0.0,BRCA,BRCA,BRCA,LIHC,False,False,False
204,False,0,0.0,PRAD,BRCA,PRAD,BRCA,False,False,False
205,False,0,0.0,SARC,BRCA,SARC,SARC,True,False,False
206,True,1,1.0,KIPAN,KIRC,KIPAN,KIPAN,True,False,True
207,False,0,0.0,TGCT,BRCA,TGCT,SARC,False,False,False
208,False,0,0.0,LIHC,BRCA,LIHC,BRCA,False,False,False
209,False,0,0.0,LUSC,BRCA,LUSC,LUSC,True,False,False
210,False,0,0.0,PRAD,BRCA,PRAD,SKCM,False,False,False
211,False,0,0.0,UCEC,BRCA,UCEC,UCEC,True,False,False
212,False,0,0.0,GBMLGG,BRCA,GBMLGG,OV,False,False,False
213,False,0,0.0,SARC,BRCA,SARC,THYM,False,False,False
214,False,0,0.0,THCA,BRCA,THCA,THCA,True,False,False
215,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
216,False,0,0.0,STES,BRCA,STES,STES,True,False,False
217,False,0,0.0,LUAD,BRCA,LUAD,LUAD,True,False,False
218,True,1,1.0,KIPAN,KIRC,KIPAN,KIPAN,True,False,True
219,False,0,0.0,CESC,BRCA,CESC,CESC,True,False,False
220,False,0,0.0,KIPAN,BRCA,KIPAN,KIPAN,True,False,False
221,False,0,0.0,COAD,BRCA,COAD,COAD,True,False,False
222,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
223,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
224,True,1,1.0,KIPAN,KIRC,KIPAN,KIPAN,True,False,True
225,True,1,1.0,KIPAN,KIRC,KIPAN,KIPAN,True,False,True
226,False,0,0.0,THYM,BRCA,THYM,THCA,False,False,False
227,False,0,0.0,BRCA,BRCA,BRCA,KIPAN,False,False,False
228,True,1,1.0,LGG,LGG,LGG,GBMLGG,False,False,False
229,False,0,0.0,CESC,BRCA,CESC,BLCA,False,False,False
230,False,0,0.0,LUSC,BRCA,LUSC,LUSC,True,False,False
231,False,0,0.0,KIPAN,BRCA,KIPAN,KIPAN,True,False,False
232,False,0,0.0,BRCA,BRCA,BRCA,PRAD,False,False,False
233,False,0,0.0,TGCT,BRCA,TGCT,TGCT,True,False,False
234,False,0,0.0,KIPAN,BRCA,KIPAN,HNSC,False,False,False
235,False,0,0.0,PCPG,BRCA,PCPG,THYM,False,False,False
236,False,0,0.0,OV,BRCA,OV,OV,True,False,False
237,False,0,0.0,BRCA,BRCA,BRCA,UCEC,False,False,False
238,False,0,0.0,STES,BRCA,STES,STES,True,False,False
239,False,0,0.0,GBMLGG,BRCA,GBMLGG,GBMLGG,True,False,False
240,False,0,0.0,CESC,BRCA,CESC,CESC,True,False,False
241,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
242,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
243,False,0,0.0,BRCA,BRCA,BRCA,PRAD,False,False,False
244,False,0,0.0,LUSC,BRCA,LUSC,LUSC,True,False,False
245,False,0,0.0,GBMLGG,BRCA,GBMLGG,UCEC,False,False,False
246,False,0,0.0,BRCA,BRCA,BRCA,OV,False,False,False
247,False,0,0.0,KIPAN,BRCA,KIPAN,KIPAN,True,False,False
248,False,0,0.0,SKCM,BRCA,SKCM,LUAD,False,False,False
249,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
250,False,0,0.0,OV,BRCA,OV,KIPAN,False,False,False
251,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
252,True,1,1.0,GBMLGG,LGG,GBMLGG,GBMLGG,True,False,True
253,False,0,0.0,SARC,BRCA,SARC,SARC,True,False,False
254,False,0,0.0,LAML,BRCA,LAML,THYM,False,False,False
255,False,0,0.0,LGG,BRCA,LGG,LGG,True,False,False
256,False,0,0.0,THYM,BRCA,THYM,LAML,False,False,False
257,False,0,0.0,LUSC,BRCA,LUSC,BLCA,False,False,False
258,False,0,0.0,COAD,BRCA,COAD,COAD,True,False,False
259,False,0,0.0,LIHC,BRCA,LIHC,STES,False,False,False
260,False,0,0.0,LGG,BRCA,LGG,PRAD,False,False,False
261,False,0,0.0,BRCA,BRCA,BRCA,GBMLGG,False,False,False
262,False,0,0.0,BLCA,BRCA,BLCA,BLCA,True,False,False
263,False,0,0.0,OV,BRCA,OV,BRCA,False,False,False
264,False,0,0.0,PRAD,BRCA,PRAD,KIPAN,False,False,False
265,False,0,0.0,KIRC,BRCA,KIRC,BRCA,False,False,False
266,False,0,0.0,PCPG,BRCA,PCPG,PRAD,False,False,False
267,True,1,1.0,GBMLGG,LGG,GBMLGG,GBMLGG,True,False,True
268,False,0,0.0,PAAD,BRCA,PAAD,PAAD,True,False,False
269,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
270,False,0,0.0,UCEC,BRCA,UCEC,GBMLGG,False,False,False
271,True,1,1.0,KIRC,KIRC,KIRC,KIPAN,False,False,False
272,False,0,0.0,OV,BRCA,OV,KIPAN,False,False,False
273,False,0,0.0,STES,BRCA,STES,STES,True,False,False
274,False,0,0.0,GBMLGG,BRCA,GBMLGG,UCEC,False,False,False
275,False,0,0.0,CESC,BRCA,CESC,CESC,True,False,False
276,False,0,0.0,BRCA,BRCA,BRCA,SARC,False,False,False
277,False,0,0.0,BRCA,BRCA,BRCA,PAAD,False,False,False
278,True,1,1.0,GBMLGG,LGG,GBMLGG,GBMLGG,True,False,True
279,False,0,0.0,LAML,BRCA,LAML,LAML,True,False,False
280,False,0,0.0,BRCA,BRCA,BRCA,GBMLGG,False,False,False
281,False,0,0.0,OV,BRCA,OV,BRCA,False,False,False
282,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
283,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
284,False,0,0.0,OV,BRCA,OV,OV,True,False,False
285,False,0,0.0,KIRC,BRCA,KIRC,KIPAN,False,False,False
286,False,0,0.0,STES,BRCA,STES,STES,True,False,False
287,False,0,0.0,THCA,BRCA,THCA,THCA,True,False,False
288,False,0,0.0,SARC,BRCA,SARC,SARC,True,False,False
289,False,0,0.0,SARC,BRCA,SARC,PRAD,False,False,False
290,False,0,0.0,LGG,BRCA,LGG,GBMLGG,False,False,False
291,False,0,0.0,PCPG,BRCA,PCPG,SARC,False,False,False
292,False,0,0.0,PRAD,BRCA,PRAD,PRAD,True,False,False
293,False,0,0.0,THCA,BRCA,THCA,LAML,False,False,False
294,False,0,0.0,LUSC,BRCA,LUSC,LUAD,False,False,False
295,False,0,0.0,HNSC,BRCA,HNSC,LUAD,False,False,False
296,False,0,0.0,THCA,BRCA,THCA,THCA,True,False,False
297,False,0,0.0,THCA,BRCA,THCA,THCA,True,False,False
298,False,0,0.0,THCA,BRCA,THCA,THCA,True,False,False
299,False,0,0.0,KIPAN,BRCA,KIPAN,TGCT,False,False,False
300,True,1,1.0,LGG,LGG,LGG,GBMLGG,False,False,False
301,False,0,0.0,UCEC,BRCA,UCEC,UCEC,True,False,False
302,False,0,0.0,SARC,BRCA,SARC,GBMLGG,False,False,False
303,False,0,0.0,LGG,BRCA,LGG,GBMLGG,False,False,False
304,False,0,0.0,TGCT,BRCA,TGCT,TGCT,True,False,False
305,False,0,0.0,HNSC,BRCA,HNSC,HNSC,True,False,False
306,False,0,0.0,BRCA,BRCA,BRCA,PCPG,False,False,False
307,False,0,0.0,TGCT,BRCA,TGCT,TGCT,True,False,False
308,False,0,0.0,PAAD,BRCA,PAAD,COAD,False,False,False
309,False,0,0.0,PRAD,BRCA,PRAD,PRAD,True,False,False
310,False,0,0.0,OV,BRCA,OV,LUSC,False,False,False
311,False,0,0.0,SARC,BRCA,SARC,SARC,True,False,False
312,False,0,0.0,HNSC,BRCA,HNSC,PAAD,False,False,False
313,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
314,False,0,0.0,SARC,BRCA,SARC,SARC,True,False,False
315,False,0,0.0,STES,BRCA,STES,PAAD,False,False,False
316,False,0,0.0,PCPG,BRCA,PCPG,GBMLGG,False,False,False
317,False,0,0.0,BRCA,BRCA,BRCA,OV,False,False,False
318,False,0,0.0,STES,BRCA,STES,BLCA,False,False,False
319,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
320,False,0,0.0,PRAD,BRCA,PRAD,BRCA,False,False,False
321,False,0,0.0,OV,BRCA,OV,OV,True,False,False
322,False,0,0.0,UCEC,BRCA,UCEC,STES,False,False,False
323,False,0,0.0,UCEC,BRCA,UCEC,UCEC,True,False,False
324,False,0,0.0,PRAD,BRCA,PRAD,PRAD,True,False,False
325,False,0,0.0,TGCT,BRCA,TGCT,TGCT,True,False,False
326,False,0,0.0,LGG,BRCA,LGG,GBMLGG,False,False,False
327,False,0,0.0,COAD,BRCA,COAD,COAD,True,False,False
328,False,0,0.0,OV,BRCA,OV,LIHC,False,False,False
329,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
330,True,1,1.0,KIPAN,KIRC,KIPAN,KIPAN,True,False,True
331,False,0,0.0,OV,BRCA,OV,LAML,False,False,False
332,False,0,0.0,OV,BRCA,OV,OV,True,False,False
333,False,0,0.0,LGG,BRCA,LGG,LGG,True,False,False
334,False,0,0.0,OV,BRCA,OV,OV,True,False,False
335,False,0,0.0,KIPAN,BRCA,KIPAN,LIHC,False,False,False
336,False,0,0.0,THYM,BRCA,THYM,THCA,False,False,False
337,False,0,0.0,LUAD,BRCA,LUAD,LUSC,False,False,False
338,False,0,0.0,LUSC,BRCA,LUSC,STES,False,False,False
339,False,0,0.0,LAML,BRCA,LAML,LAML,True,False,False
340,False,0,0.0,PRAD,BRCA,PRAD,BRCA,False,False,False
341,False,0,0.0,LGG,BRCA,LGG,GBMLGG,False,False,False
342,False,0,0.0,UCEC,BRCA,UCEC,UCEC,True,False,False
343,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
344,False,0,0.0,GBMLGG,BRCA,GBMLGG,SARC,False,False,False
345,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
346,True,1,1.0,KIPAN,KIRC,KIRC,KIPAN,True,False,True
347,True,1,1.0,KIPAN,KIRC,KIPAN,KIPAN,True,False,True
348,False,0,0.0,COAD,BRCA,COAD,PRAD,False,False,False
349,False,0,0.0,HNSC,BRCA,HNSC,STES,False,False,False
350,False,0,0.0,LAML,BRCA,LAML,LAML,True,False,False
351,False,0,0.0,GBMLGG,BRCA,GBMLGG,LUAD,False,False,False
352,False,0,0.0,LIHC,BRCA,LIHC,KIPAN,False,False,False
353,False,0,0.0,KIPAN,BRCA,KIPAN,KIPAN,True,False,False
354,False,0,0.0,DLBC,BRCA,DLBC,DLBC,True,False,False
355,False,0,0.0,BLCA,BRCA,BLCA,BLCA,True,False,False
356,False,0,0.0,LUSC,BRCA,LUSC,LUAD,False,False,False
357,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
358,False,0,0.0,SARC,BRCA,SARC,SARC,True,False,False
359,False,0,0.0,PRAD,BRCA,PRAD,KIRC,False,False,False
360,False,0,0.0,COAD,BRCA,COAD,COAD,True,False,False
361,False,0,0.0,COAD,BRCA,COAD,COAD,True,False,False
362,False,0,0.0,LUSC,BRCA,LUSC,LUSC,True,False,False
363,False,0,0.0,LUSC,BRCA,LUSC,HNSC,False,False,False
364,False,0,0.0,COAD,BRCA,COAD,COAD,True,False,False
365,False,0,0.0,THYM,BRCA,THYM,KIPAN,False,False,False
366,False,0,0.0,KIRC,BRCA,KIRC,PCPG,False,False,False
367,False,0,0.0,STES,BRCA,STES,STES,True,False,False
368,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
369,False,0,0.0,TGCT,BRCA,TGCT,TGCT,True,False,False
370,False,0,0.0,THCA,BRCA,THCA,THCA,True,False,False
371,False,0,0.0,PCPG,BRCA,PCPG,GBMLGG,False,False,False
372,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
373,True,1,1.0,KIPAN,KIRC,KIPAN,KIPAN,True,False,True
374,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
375,False,0,0.0,OV,BRCA,OV,BRCA,False,False,False
376,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
377,False,0,0.0,COAD,BRCA,COAD,COAD,True,False,False
378,False,0,0.0,LAML,BRCA,LAML,THCA,False,False,False
379,False,0,0.0,LUSC,BRCA,LUSC,LUSC,True,False,False
380,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
381,True,1,1.0,GBMLGG,LGG,GBMLGG,GBMLGG,True,False,True
382,False,0,0.0,THYM,BRCA,THYM,LAML,False,False,False
383,False,0,0.0,SARC,BRCA,SARC,OV,False,False,False
384,False,0,0.0,HNSC,BRCA,HNSC,HNSC,True,False,False
385,False,0,0.0,LGG,BRCA,LGG,LGG,True,False,False
386,False,0,0.0,GBMLGG,BRCA,GBMLGG,GBMLGG,True,False,False
387,False,0,0.0,LUSC,BRCA,LUSC,LUAD,False,False,False
388,False,0,0.0,LIHC,BRCA,LIHC,LIHC,True,False,False
389,False,0,0.0,THYM,BRCA,THYM,LAML,False,False,False
390,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
